"","masterid","Threshold","Index","Result","n"
"1","402M00002","NAT","csci","UBLS",8
"2","402M00002","NAT","csci","UBUS",1
"3","402M00002","NATHigh","csci","UBLS",8
"4","402M00002","NATHigh","csci","UBVLS",1
"5","402M00002","NATLow","csci","HBUS",9
"6","402M00002","NATMed","csci","UBLS",8
"7","402M00002","NATMed","csci","UBUS",1
"8","402M00009","NAT","csci","UBLS",7
"9","402M00009","NAT","csci","UBUS",2
"10","402M00009","NATHigh","csci","UBLS",9
"11","402M00009","NATLow","csci","UBLS",1
"12","402M00009","NATLow","csci","UBUS",8
"13","402M00009","NATMed","csci","UBLS",7
"14","402M00009","NATMed","csci","UBUS",2
"15","402M00015","NAT","csci","UBLS",6
"16","402M00015","NAT","csci","UBUS",3
"17","402M00015","NATHigh","csci","UBLS",9
"18","402M00015","NATLow","csci","HBUS",9
"19","402M00015","NATMed","csci","UBLS",6
"20","402M00015","NATMed","csci","UBUS",3
"21","402M00029","NAT","csci","UBLS",7
"22","402M00029","NAT","csci","UBUS",2
"23","402M00029","NATHigh","csci","UBLS",9
"24","402M00029","NATLow","csci","UBUS",9
"25","402M00029","NATMed","csci","UBLS",7
"26","402M00029","NATMed","csci","UBUS",2
"27","402M00030","NAT","csci","UBLS",4
"28","402M00030","NAT","csci","UBUS",5
"29","402M00030","NATHigh","csci","UBLS",9
"30","402M00030","NATLow","csci","HBUS",9
"31","402M00030","NATMed","csci","UBLS",4
"32","402M00030","NATMed","csci","UBUS",5
"33","402M00042","NAT","csci","UBLS",5
"34","402M00042","NAT","csci","UBUS",4
"35","402M00042","NATHigh","csci","UBLS",9
"36","402M00042","NATLow","csci","HBUS",9
"37","402M00042","NATMed","csci","UBLS",5
"38","402M00042","NATMed","csci","UBUS",4
"39","402M00043","NAT","csci","UBLS",7
"40","402M00043","NAT","csci","UBUS",2
"41","402M00043","NATHigh","csci","UBLS",9
"42","402M00043","NATLow","csci","HBUS",9
"43","402M00043","NATMed","csci","UBLS",7
"44","402M00043","NATMed","csci","UBUS",2
"45","402M00058","NAT","csci","UBLS",4
"46","402M00058","NAT","csci","UBUS",5
"47","402M00058","NATHigh","csci","UBLS",9
"48","402M00058","NATLow","csci","HBUS",9
"49","402M00058","NATMed","csci","UBLS",4
"50","402M00058","NATMed","csci","UBUS",5
"51","402M00090","NAT","csci","HBLS",4
"52","402M00090","NAT","csci","HBUS",5
"53","402M00090","NATHigh","csci","UBLS",9
"54","402M00090","NATLow","csci","HBUS",9
"55","402M00090","NATMed","csci","HBLS",4
"56","402M00090","NATMed","csci","HBUS",5
"57","402M00110","NATHigh","csci","UBLS",9
"58","402M00110","NATLow","csci","HBUS",9
"59","402M00110","NATMed","csci","HBLS",5
"60","402M00110","NATMed","csci","HBUS",4
"61","402M00114","NAT","csci","HBLS",7
"62","402M00114","NAT","csci","HBUS",2
"63","402M00114","NATHigh","csci","UBLS",9
"64","402M00114","NATLow","csci","HBLS",1
"65","402M00114","NATLow","csci","HBUS",8
"66","402M00114","NATMed","csci","HBLS",7
"67","402M00114","NATMed","csci","HBUS",2
"68","402M00127","NAT","csci","UBLS",6
"69","402M00127","NAT","csci","UBUS",3
"70","402M00127","NATHigh","csci","UBLS",9
"71","402M00127","NATLow","csci","HBUS",9
"72","402M00127","NATMed","csci","UBLS",6
"73","402M00127","NATMed","csci","UBUS",3
"74","402M00130","NAT","csci","HBLS",8
"75","402M00130","NAT","csci","HBUS",1
"76","402M00130","NATHigh","csci","UBLS",7
"77","402M00130","NATHigh","csci","UBVLS",2
"78","402M00130","NATLow","csci","HBUS",9
"79","402M00130","NATMed","csci","HBLS",8
"80","402M00130","NATMed","csci","HBUS",1
"81","402M00158","NAT","csci","UBLS",4
"82","402M00158","NAT","csci","UBUS",5
"83","402M00158","NATHigh","csci","UBLS",9
"84","402M00158","NATLow","csci","HBUS",9
"85","402M00158","NATMed","csci","UBLS",4
"86","402M00158","NATMed","csci","UBUS",5
"87","402M00177","NAT","csci","UBLS",7
"88","402M00177","NAT","csci","UBUS",2
"89","402M00177","NATHigh","csci","UBLS",9
"90","402M00177","NATLow","csci","UBUS",9
"91","402M00177","NATMed","csci","UBLS",7
"92","402M00177","NATMed","csci","UBUS",2
"93","402M00191","NAT","csci","HBLS",6
"94","402M00191","NAT","csci","HBUS",3
"95","402M00191","NATHigh","csci","UBLS",9
"96","402M00191","NATLow","csci","HBUS",9
"97","402M00191","NATMed","csci","HBLS",6
"98","402M00191","NATMed","csci","HBUS",3
"99","402MJCMHS","NAT","csci","HBLS",7
"100","402MJCMHS","NAT","csci","HBUS",2
"101","402MJCMHS","NATHigh","csci","HBLS",9
"102","402MJCMHS","NATLow","csci","HBUS",9
"103","402MJCMHS","NATMed","csci","HBLS",7
"104","402MJCMHS","NATMed","csci","HBUS",2
"105","402MTCUNF","NAT","csci","HBLS",7
"106","402MTCUNF","NAT","csci","HBUS",2
"107","402MTCUNF","NATHigh","csci","HBLS",9
"108","402MTCUNF","NATLow","csci","HBUS",9
"109","402MTCUNF","NATMed","csci","HBLS",7
"110","402MTCUNF","NATMed","csci","HBUS",2
"111","402PS0048","NAT","csci","HBLS",7
"112","402PS0048","NAT","csci","HBUS",2
"113","402PS0048","NATHigh","csci","HBLS",9
"114","402PS0048","NATLow","csci","HBUS",9
"115","402PS0048","NATMed","csci","HBLS",7
"116","402PS0048","NATMed","csci","HBUS",2
"117","402S00079","NAT","csci","HBLS",7
"118","402S00079","NAT","csci","HBUS",2
"119","402S00079","NATHigh","csci","UBLS",9
"120","402S00079","NATLow","csci","HBUS",9
"121","402S00079","NATMed","csci","HBLS",7
"122","402S00079","NATMed","csci","HBUS",2
"123","402S00095","NAT","csci","UBLS",8
"124","402S00095","NAT","csci","UBUS",1
"125","402S00095","NATHigh","csci","UBLS",9
"126","402S00095","NATLow","csci","HBUS",9
"127","402S00095","NATMed","csci","UBLS",8
"128","402S00095","NATMed","csci","UBUS",1
"129","402S00143","NAT","csci","UBLS",7
"130","402S00143","NAT","csci","UBUS",2
"131","402S00143","NATHigh","csci","UBLS",9
"132","402S00143","NATLow","csci","HBUS",9
"133","402S00143","NATMed","csci","UBLS",7
"134","402S00143","NATMed","csci","UBUS",2
"135","402S00287","NAT","csci","HBLS",9
"136","402S00287","NATHigh","csci","HBLS",5
"137","402S00287","NATHigh","csci","HBVLS",4
"138","402S00287","NATLow","csci","HBLS",7
"139","402S00287","NATLow","csci","HBUS",2
"140","402S00287","NATMed","csci","HBLS",9
"141","402SNPMCR","NAT","csci","UBLS",7
"142","402SNPMCR","NAT","csci","UBUS",2
"143","402SNPMCR","NATHigh","csci","UBLS",9
"144","402SNPMCR","NATLow","csci","UBUS",9
"145","402SNPMCR","NATMed","csci","UBLS",7
"146","402SNPMCR","NATMed","csci","UBUS",2
"147","402WE0536","NAT","csci","HBLS",7
"148","402WE0536","NAT","csci","HBUS",2
"149","402WE0536","NATHigh","csci","HBLS",9
"150","402WE0536","NATLow","csci","HBUS",9
"151","402WE0536","NATMed","csci","HBLS",7
"152","402WE0536","NATMed","csci","HBUS",2
"153","402WE0803","NAT","csci","HBLS",6
"154","402WE0803","NAT","csci","HBUS",3
"155","402WE0803","NATHigh","csci","HBLS",9
"156","402WE0803","NATLow","csci","HBUS",9
"157","402WE0803","NATMed","csci","HBLS",6
"158","402WE0803","NATMed","csci","HBUS",3
"159","402WER001","NAT","csci","HBLS",7
"160","402WER001","NAT","csci","HBUS",2
"161","402WER001","NATHigh","csci","HBLS",9
"162","402WER001","NATLow","csci","HBUS",9
"163","402WER001","NATMed","csci","HBLS",7
"164","402WER001","NATMed","csci","HBUS",2
"165","403CE0156","NAT","csci","HBLS",4
"166","403CE0156","NAT","csci","HBUS",5
"167","403CE0156","NATHigh","csci","HBLS",9
"168","403CE0156","NATLow","csci","HBLS",1
"169","403CE0156","NATLow","csci","HBUS",8
"170","403CE0156","NATMed","csci","HBLS",4
"171","403CE0156","NATMed","csci","HBUS",5
"172","403M01560","NAT","csci","UBLS",9
"173","403M01560","NATHigh","csci","UBLS",5
"174","403M01560","NATHigh","csci","UBVLS",4
"175","403M01560","NATLow","csci","UBLS",4
"176","403M01560","NATLow","csci","UBUS",5
"177","403M01560","NATMed","csci","UBLS",9
"178","403M01575","NAT","csci","HBLS",6
"179","403M01575","NAT","csci","HBUS",3
"180","403M01575","NATHigh","csci","UBLS",9
"181","403M01575","NATLow","csci","HBUS",9
"182","403M01575","NATMed","csci","HBLS",6
"183","403M01575","NATMed","csci","HBUS",3
"184","403M01580","NAT","csci","UBLS",9
"185","403M01580","NATHigh","csci","UBLS",5
"186","403M01580","NATHigh","csci","UBVLS",4
"187","403M01580","NATLow","csci","UBLS",4
"188","403M01580","NATLow","csci","UBUS",5
"189","403M01580","NATMed","csci","UBLS",9
"190","403M01619","NAT","csci","UBLS",6
"191","403M01619","NAT","csci","UBUS",3
"192","403M01619","NATHigh","csci","UBLS",9
"193","403M01619","NATLow","csci","HBUS",9
"194","403M01619","NATMed","csci","UBLS",6
"195","403M01619","NATMed","csci","UBUS",3
"196","403M01625","NAT","csci","HBLS",8
"197","403M01625","NAT","csci","HBUS",1
"198","403M01625","NATHigh","csci","HBLS",9
"199","403M01625","NATLow","csci","HBUS",9
"200","403M01625","NATMed","csci","HBLS",8
"201","403M01625","NATMed","csci","HBUS",1
"202","403M01629","NAT","csci","HBLS",5
"203","403M01629","NAT","csci","HBUS",4
"204","403M01629","NATHigh","csci","UBLS",9
"205","403M01629","NATLow","csci","HBLS",1
"206","403M01629","NATLow","csci","HBUS",8
"207","403M01629","NATMed","csci","HBLS",5
"208","403M01629","NATMed","csci","HBUS",4
"209","403M05758","NAT","csci","HBLS",9
"210","403M05758","NATHigh","csci","UBLS",7
"211","403M05758","NATHigh","csci","UBVLS",2
"212","403M05758","NATLow","csci","HBUS",9
"213","403M05758","NATMed","csci","HBLS",9
"214","403M05774","NAT","csci","UBLS",9
"215","403M05774","NATHigh","csci","UBLS",7
"216","403M05774","NATHigh","csci","UBVLS",2
"217","403M05774","NATLow","csci","HBUS",9
"218","403M05774","NATMed","csci","UBLS",9
"219","403M05795","NAT","csci","HBLS",8
"220","403M05795","NAT","csci","HBUS",1
"221","403M05795","NATHigh","csci","UBLS",9
"222","403M05795","NATLow","csci","HBUS",9
"223","403M05795","NATMed","csci","HBLS",8
"224","403M05795","NATMed","csci","HBUS",1
"225","403M05832","NAT","csci","HBLS",7
"226","403M05832","NAT","csci","HBUS",2
"227","403M05832","NATHigh","csci","UBLS",9
"228","403M05832","NATLow","csci","HBUS",9
"229","403M05832","NATMed","csci","HBLS",7
"230","403M05832","NATMed","csci","HBUS",2
"231","403M05947","NAT","csci","UBLS",5
"232","403M05947","NAT","csci","UBUS",4
"233","403M05947","NATHigh","csci","UBLS",9
"234","403M05947","NATLow","csci","UBUS",9
"235","403M05947","NATMed","csci","UBLS",5
"236","403M05947","NATMed","csci","UBUS",4
"237","403R4S117","NAT","csci","UBLS",7
"238","403R4S117","NAT","csci","UBUS",2
"239","403R4S117","NATHigh","csci","UBLS",9
"240","403R4S117","NATLow","csci","HBUS",9
"241","403R4S117","NATMed","csci","UBLS",7
"242","403R4S117","NATMed","csci","UBUS",2
"243","403S00064","NAT","csci","UBLS",7
"244","403S00064","NAT","csci","UBUS",2
"245","403S00064","NATHigh","csci","UBLS",9
"246","403S00064","NATLow","csci","HBUS",9
"247","403S00064","NATMed","csci","UBLS",7
"248","403S00064","NATMed","csci","UBUS",2
"249","403S00171","NAT","csci","HBLS",7
"250","403S00171","NAT","csci","HBUS",1
"251","403S00171","NAT","csci","HBVLS",1
"252","403S00171","NATHigh","csci","HBLS",5
"253","403S00171","NATHigh","csci","HBVLS",4
"254","403S00171","NATLow","csci","HBLS",7
"255","403S00171","NATLow","csci","HBUS",2
"256","403S00171","NATMed","csci","HBLS",7
"257","403S00171","NATMed","csci","HBUS",1
