"","metric","Index","Hydro_endpoint","SmoothingFunc","Quantile","ChosenSmth","ModelstoUse","Threshold","BioThresh","Lower","Upper","MetricCurve","CurveStatus","Lower2","Upper2"
"1","csci_SP_Mag","csci","SP_Mag",3,0.9,3,"Yes","NAT",0.79,NA,NA,"csci_SP_Mag_3_0.9","Above",-51409.3499565775,8059.89071245416
"2","csci_SP_Mag","csci","SP_Mag",3,0.9,3,"Yes","NATMed",0.79,NA,NA,"csci_SP_Mag_3_0.9","Above",-51409.3499565775,8059.89071245416
"3","csci_SP_Mag","csci","SP_Mag",3,0.9,3,"Yes","NATLow",0.63,NA,NA,"csci_SP_Mag_3_0.9","Above",-51409.3499565775,8059.89071245416
"4","csci_SP_Mag","csci","SP_Mag",3,0.9,3,"Yes","NATHigh",0.92,NA,1587.02850769387,"csci_SP_Mag_3_0.9","Passes",-51409.3499565775,1587.02850769387
"5","csci_SP_Mag","csci","SP_Mag",3,0.9,3,"Yes","HB",0.67,NA,NA,"csci_SP_Mag_3_0.9","Above",-51409.3499565775,8059.89071245416
"6","csci_SP_Mag","csci","SP_Mag",3,0.9,3,"Yes","SB0",0.78,NA,NA,"csci_SP_Mag_3_0.9","Above",-51409.3499565775,8059.89071245416
"7","csci_SP_Mag","csci","SP_Mag",3,0.9,3,"Yes","SB2",0.75,NA,NA,"csci_SP_Mag_3_0.9","Above",-51409.3499565775,8059.89071245416
"8","csci_Q99","csci","Q99",3,0.9,3,"Yes","NAT",0.79,-8137.01167771691,NA,"csci_Q99_3_0.9","Above",-8137.01167771691,8059.89071245416
"9","csci_Q99","csci","Q99",3,0.9,3,"Yes","NATMed",0.79,-8137.01167771691,NA,"csci_Q99_3_0.9","Above",-8137.01167771691,8059.89071245416
"10","csci_Q99","csci","Q99",3,0.9,3,"Yes","NATLow",0.63,-14517.2355662835,NA,"csci_Q99_3_0.9","Above",-14517.2355662835,8059.89071245416
"11","csci_Q99","csci","Q99",3,0.9,3,"Yes","NATHigh",0.92,-4024.85605776391,NA,"csci_Q99_3_0.9","Above",-4024.85605776391,8059.89071245416
"12","csci_Q99","csci","Q99",3,0.9,3,"Yes","HB",0.67,-12692.4833784827,NA,"csci_Q99_3_0.9","Above",-12692.4833784827,8059.89071245416
"13","csci_Q99","csci","Q99",3,0.9,3,"Yes","SB0",0.78,-8481.18290065329,NA,"csci_Q99_3_0.9","Above",-8481.18290065329,8059.89071245416
"14","csci_Q99","csci","Q99",3,0.9,3,"Yes","SB2",0.75,-9545.63018962116,NA,"csci_Q99_3_0.9","Above",-9545.63018962116,8059.89071245416
"15","csci_SP_Mag","csci","SP_Mag",3,0.5,3,"Yes","NAT",0.79,NA,NA,"csci_SP_Mag_3_0.5","Below",0,0
"16","csci_SP_Mag","csci","SP_Mag",3,0.5,3,"Yes","NATMed",0.79,NA,NA,"csci_SP_Mag_3_0.5","Below",0,0
"17","csci_SP_Mag","csci","SP_Mag",3,0.5,3,"Yes","NATLow",0.63,-868.690502041855,1155.32814141613,"csci_SP_Mag_3_0.5","Passes",-868.690502041855,1155.32814141613
"18","csci_SP_Mag","csci","SP_Mag",3,0.5,3,"Yes","NATHigh",0.92,NA,NA,"csci_SP_Mag_3_0.5","Below",0,0
"19","csci_SP_Mag","csci","SP_Mag",3,0.5,3,"Yes","HB",0.67,-633.196735295174,971.66554732611,"csci_SP_Mag_3_0.5","Passes",-633.196735295174,971.66554732611
"20","csci_SP_Mag","csci","SP_Mag",3,0.5,3,"Yes","SB0",0.78,NA,NA,"csci_SP_Mag_3_0.5","Below",0,0
"21","csci_SP_Mag","csci","SP_Mag",3,0.5,3,"Yes","SB2",0.75,NA,117.625357795745,"csci_SP_Mag_3_0.5","Below",0,117.625357795745
"22","csci_Q99","csci","Q99",3,0.5,3,"Yes","NAT",0.79,NA,929.287387463372,"csci_Q99_3_0.5","Below",0,929.287387463372
"23","csci_Q99","csci","Q99",3,0.5,3,"Yes","NATMed",0.79,NA,929.287387463372,"csci_Q99_3_0.5","Below",0,929.287387463372
"24","csci_Q99","csci","Q99",3,0.5,3,"Yes","NATLow",0.63,-3815.39799140863,NA,"csci_Q99_3_0.5","Passes",-3815.39799140863,0
"25","csci_Q99","csci","Q99",3,0.5,3,"Yes","NATHigh",0.92,NA,NA,"csci_Q99_3_0.5","Below",0,0
"26","csci_Q99","csci","Q99",3,0.5,3,"Yes","HB",0.67,-2585.97322716281,NA,"csci_Q99_3_0.5","Passes",-2585.97322716281,0
"27","csci_Q99","csci","Q99",3,0.5,3,"Yes","SB0",0.78,NA,639.429897833286,"csci_Q99_3_0.5","Below",0,639.429897833286
"28","csci_Q99","csci","Q99",3,0.5,3,"Yes","SB2",0.75,-230.470617152162,NA,"csci_Q99_3_0.5","Passes",-230.470617152162,0
"29","csci_SP_Mag","csci","SP_Mag",3,0.3,3,"Yes","NAT",0.79,NA,NA,"csci_SP_Mag_3_0.3","Below",0,0
"30","csci_SP_Mag","csci","SP_Mag",3,0.3,3,"Yes","NATMed",0.79,NA,NA,"csci_SP_Mag_3_0.3","Below",0,0
"31","csci_SP_Mag","csci","SP_Mag",3,0.3,3,"Yes","NATLow",0.63,NA,NA,"csci_SP_Mag_3_0.3","Below",0,0
"32","csci_SP_Mag","csci","SP_Mag",3,0.3,3,"Yes","NATHigh",0.92,NA,NA,"csci_SP_Mag_3_0.3","Below",0,0
"33","csci_SP_Mag","csci","SP_Mag",3,0.3,3,"Yes","HB",0.67,NA,NA,"csci_SP_Mag_3_0.3","Below",0,0
"34","csci_SP_Mag","csci","SP_Mag",3,0.3,3,"Yes","SB0",0.78,NA,NA,"csci_SP_Mag_3_0.3","Below",0,0
"35","csci_SP_Mag","csci","SP_Mag",3,0.3,3,"Yes","SB2",0.75,NA,NA,"csci_SP_Mag_3_0.3","Below",0,0
"36","csci_Q99","csci","Q99",3,0.3,3,"Yes","NAT",0.79,NA,NA,"csci_Q99_3_0.3","Below",0,0
"37","csci_Q99","csci","Q99",3,0.3,3,"Yes","NATMed",0.79,NA,NA,"csci_Q99_3_0.3","Below",0,0
