"","metric","ThresholdNAT_Lower","ThresholdNAT_Upper","ThresholdNATMed_Lower","ThresholdNATMed_Upper","ThresholdNATLow_Lower","ThresholdNATLow_Upper","ThresholdNATHigh_Lower","ThresholdNATHigh_Upper","ThresholdHB_Lower","ThresholdHB_Upper","ThresholdSB0_Lower","ThresholdSB0_Upper","ThresholdSB2_Lower","ThresholdSB2_Upper","n","Index","Hydro_endpoint","SmoothingFunc","Quantile","ChosenSmth","ModelstoUse"
"1","csci_SP_Mag_3_0.9",NA,2173.81217636572,NA,2173.81217636572,NA,NA,NA,1492.1713091058,NA,NA,NA,2223.48442765545,NA,NA,14103,"csci","SP_Mag",3,"0.9",3,"Yes"
"2","csci_Q99_3_0.9",-11207.6495390352,NA,-11207.6495390352,NA,-21300.4009822566,NA,-5369.64402414703,NA,-18219.764031761,NA,-11710.6555819204,NA,-13288.281742162,NA,33828,"csci","Q99",3,"0.9",3,"Yes"
"3","csci_SP_Mag_3_0.5",NA,NA,NA,NA,-748.897767180011,1092.7243075442,NA,NA,-568.756318518281,944.164761566672,NA,NA,-85.6991406779058,509.035491659901,14103,"csci","SP_Mag",3,"0.5",3,"Yes"
"4","csci_Q99_3_0.5",NA,NA,NA,NA,-7783.37901430611,NA,NA,NA,-5330.60173663222,NA,NA,727.781591298648,-872.543780391899,NA,33828,"csci","Q99",3,"0.5",3,"Yes"
"5","csci_SP_Mag_3_0.3",NA,NA,NA,NA,NA,96.6125552473817,NA,NA,NA,NA,NA,NA,NA,NA,14103,"csci","SP_Mag",3,"0.3",3,"Yes"
"6","csci_Q99_3_0.3",NA,NA,NA,NA,NA,65.215846094664,NA,NA,NA,NA,NA,NA,NA,NA,33828,"csci","Q99",3,"0.3",3,"Yes"
"7","csci_DS_Mag_50_6_0.9",NA,17.3823064933466,NA,17.3823064933466,NA,63.601824752228,NA,9.66372150423761,NA,31.9411933218932,NA,18.1076789317579,NA,20.5175474047462,14141,"csci","DS_Mag_50",6,"0.9",6,"Yes"
"8","csci_FA_Mag_6_0.9",-208.494416251457,194.293317759518,-208.494416251457,194.293317759518,NA,277.065700853834,-139.636347661812,130.892505943503,NA,254.778936999254,-213.574298699857,199.128525975065,NA,213.775871820229,11590,"csci","FA_Mag",6,"0.9",6,"Yes"
"9","csci_Peak_10_6_0.9",-15167.0124806902,NA,-15167.0124806902,NA,-22158.7060463364,NA,-5395.2918334067,NA,-20570.0201836373,NA,-15691.5545657655,NA,-17147.0912188274,NA,17273,"csci","Peak_10",6,"0.9",6,"Yes"
"10","csci_Peak_2_6_0.9",-2649.0623177306,NA,-2649.0623177306,NA,NA,NA,-1574.7826272538,1760.6787536025,NA,NA,-2757.64261985738,NA,-3143.01296292489,NA,17980,"csci","Peak_2",6,"0.9",6,"Yes"
"11","csci_Peak_5_6_0.9",-17747.5977294914,NA,-17747.5977294914,NA,-20233.2483410441,NA,-2154.9127306521,5441.07251037704,-19592.1294997017,NA,-17897.004349022,NA,-18349.1579455416,NA,18999,"csci","Peak_5",6,"0.9",6,"Yes"
"12","csci_Wet_BFL_Mag_10_6_0.9",-66.8273124673257,27.8856539771078,-66.8273124673257,27.8856539771078,NA,43.3056928268613,-31.8669760644323,18.0180102774989,NA,38.762427370764,-71.912910491221,28.6872754097472,NA,31.1787077065566,79019,"csci","Wet_BFL_Mag_10",6,"0.9",6,"Yes"
"13","csci_Wet_BFL_Mag_50_6_0.9",NA,135.97230491117,NA,135.97230491117,NA,192.458860247856,-297.913801155415,85.2773710948554,NA,178.611524844809,NA,139.624950988735,NA,150.450672963849,143499,"csci","Wet_BFL_Mag_50",6,"0.9",6,"Yes"
"14","csci_DS_Mag_50_6_0.5",-14.4595431525564,2.20006295248258,-14.4595431525564,2.20006295248258,-24.7312359893684,11.4497149702711,NA,NA,-22.4810744912398,9.27061789983846,-15.2859884697315,2.90599831855195,-17.5059972821724,4.81040601738023,14141,"csci","DS_Mag_50",6,"0.5",6,"Yes"
"15","csci_FA_Mag_6_0.5",-83.3003720430594,21.5541666040938,-83.3003720430594,21.5541666040938,-161.010829886185,99.5369624858026,NA,NA,-144.934025857354,81.3692101252469,-90.1571081236028,27.7904533153769,-107.786040617292,44.1034422001544,11590,"csci","FA_Mag",6,"0.5",6,"Yes"
"16","csci_Peak_10_6_0.5",-24.2500459210673,3847.35746480759,-24.2500459210673,3847.35746480759,-2604.41118294946,5510.41320146013,NA,NA,-1791.56952133176,5155.80175975923,-171.868808175009,3982.30706337178,-594.756206490195,4347.41975972416,17273,"csci","Peak_10",6,"0.5",6,"Yes"
"17","csci_Peak_2_6_0.5",NA,NA,NA,NA,-3038.7150292438,1588.8032980871,NA,NA,-2483.97527514371,1152.34672537844,NA,NA,-1423.11700360344,208.684117611137,17980,"csci","Peak_2",6,"0.5",6,"Yes"
"18","csci_Peak_5_6_0.5",NA,470.583761170097,NA,470.583761170097,-14131.1173775163,NA,NA,NA,-3024.1905589121,5451.5292012087,NA,46.8863230675362,-806.453477627764,3607.65745333449,18999,"csci","Peak_5",6,"0.5",6,"Yes"
"19","csci_Wet_BFL_Mag_10_6_0.5",-1.1343597326479,3.8650158356208,-1.1343597326479,3.8650158356208,-14.9035003496638,17.1675222973857,NA,NA,-12.3268824541175,14.6742314901862,-2.93796952860244,5.63507138678229,-6.29212556334919,8.88402215222236,79019,"csci","Wet_BFL_Mag_10",6,"0.5",6,"Yes"
"20","csci_Wet_BFL_Mag_50_6_0.5",NA,NA,NA,NA,-326.150248342731,58.2158266004973,NA,NA,-59.2309506986026,48.4034128089303,NA,NA,-16.5804322256387,25.6712551385071,143499,"csci","Wet_BFL_Mag_50",6,"0.5",6,"Yes"
"21","csci_DS_Mag_50_6_0.3",NA,NA,NA,NA,-17.1859720938305,4.56446553405727,NA,NA,-14.025866601954,1.83037711608407,NA,NA,NA,NA,14141,"csci","DS_Mag_50",6,"0.3",6,"Yes"
"22","csci_FA_Mag_6_0.3",NA,NA,NA,NA,-121.696237300807,39.7939385319801,NA,NA,-99.1119021041179,19.7348907992413,NA,NA,NA,NA,11590,"csci","FA_Mag",6,"0.3",6,"Yes"
"23","csci_Peak_10_6_0.3",NA,NA,NA,NA,-349.539718816633,4334.39558527551,NA,NA,NA,140.943682424948,NA,NA,NA,NA,17273,"csci","Peak_10",6,"0.3",6,"Yes"
"24","csci_Peak_2_6_0.3",NA,NA,NA,NA,-158.991906722263,NA,NA,NA,NA,NA,NA,NA,NA,NA,17980,"csci","Peak_2",6,"0.3",6,"Yes"
"25","csci_Peak_5_6_0.3",NA,NA,NA,NA,NA,386.698428461513,NA,NA,NA,3583.30468296193,NA,NA,NA,NA,18999,"csci","Peak_5",6,"0.3",6,"Yes"
"26","csci_Wet_BFL_Mag_10_6_0.3",NA,NA,NA,NA,-5.53234092980589,7.74475491724586,NA,NA,NA,NA,NA,NA,NA,NA,79019,"csci","Wet_BFL_Mag_10",6,"0.3",6,"Yes"
