"","Index","Hydro_endpoint","Flow.Metric.Name","Threshold","Result","n"
"1","asci","DS_Mag_50","Dry-season median baseflow","HB","UHLF",1
"2","asci","DS_Mag_50","Dry-season median baseflow","HB","UHMF",20
"3","asci","DS_Mag_50","Dry-season median baseflow","NAT","HMF",26
"4","asci","DS_Mag_50","Dry-season median baseflow","NAT","UHMF",39
"5","asci","DS_Mag_50","Dry-season median baseflow","NATHigh","HMF",25
"6","asci","DS_Mag_50","Dry-season median baseflow","NATHigh","UHLF",14
"7","asci","DS_Mag_50","Dry-season median baseflow","NATHigh","UHMF",103
"8","asci","DS_Mag_50","Dry-season median baseflow","NATLow","HMF",3
"9","asci","DS_Mag_50","Dry-season median baseflow","NATLow","HUF",61
"10","asci","DS_Mag_50","Dry-season median baseflow","NATLow","UHMF",7
"11","asci","DS_Mag_50","Dry-season median baseflow","NATLow","UHUF",71
"12","asci","DS_Mag_50","Dry-season median baseflow","NATMed","HMF",38
"13","asci","DS_Mag_50","Dry-season median baseflow","NATMed","UHLF",1
"14","asci","DS_Mag_50","Dry-season median baseflow","NATMed","UHMF",103
"15","asci","DS_Mag_50","Dry-season median baseflow","SB0","UHUF",2
"16","asci","DS_Mag_50","Dry-season median baseflow","SB2","UHUF",13
"17","asci","FA_Mag","Fall pulse magnitude","HB","UHLF",1
"18","asci","FA_Mag","Fall pulse magnitude","HB","UHMF",20
"19","asci","FA_Mag","Fall pulse magnitude","NAT","HMF",26
"20","asci","FA_Mag","Fall pulse magnitude","NAT","UHMF",39
"21","asci","FA_Mag","Fall pulse magnitude","NATHigh","HMF",25
"22","asci","FA_Mag","Fall pulse magnitude","NATHigh","UHLF",15
"23","asci","FA_Mag","Fall pulse magnitude","NATHigh","UHMF",102
"24","asci","FA_Mag","Fall pulse magnitude","NATLow","HMF",64
"25","asci","FA_Mag","Fall pulse magnitude","NATLow","UHMF",78
"26","asci","FA_Mag","Fall pulse magnitude","NATMed","HMF",38
"27","asci","FA_Mag","Fall pulse magnitude","NATMed","UHLF",7
"28","asci","FA_Mag","Fall pulse magnitude","NATMed","UHMF",97
"29","asci","FA_Mag","Fall pulse magnitude","SB0","UHMF",2
"30","asci","FA_Mag","Fall pulse magnitude","SB2","UHLF",1
"31","asci","FA_Mag","Fall pulse magnitude","SB2","UHMF",12
"32","asci","Peak_10","10-year flood magnitude","HB","UHLF",10
"33","asci","Peak_10","10-year flood magnitude","HB","UHMF",4
"34","asci","Peak_10","10-year flood magnitude","NAT","HMF",8
"35","asci","Peak_10","10-year flood magnitude","NAT","UHLF",1
"36","asci","Peak_10","10-year flood magnitude","NAT","UHMF",26
"37","asci","Peak_10","10-year flood magnitude","NATHigh","HMF",10
"38","asci","Peak_10","10-year flood magnitude","NATHigh","UHLF",23
"39","asci","Peak_10","10-year flood magnitude","NATHigh","UHMF",42
"40","asci","Peak_10","10-year flood magnitude","NATLow","HMF",4
"41","asci","Peak_10","10-year flood magnitude","NATLow","HUF",26
"42","asci","Peak_10","10-year flood magnitude","NATLow","UHLF",6
"43","asci","Peak_10","10-year flood magnitude","NATLow","UHMF",19
"44","asci","Peak_10","10-year flood magnitude","NATLow","UHUF",20
"45","asci","Peak_10","10-year flood magnitude","NATMed","HMF",13
"46","asci","Peak_10","10-year flood magnitude","NATMed","UHLF",17
"47","asci","Peak_10","10-year flood magnitude","NATMed","UHMF",45
"48","asci","Peak_10","10-year flood magnitude","SB0","UHMF",1
"49","asci","Peak_10","10-year flood magnitude","SB2","UHLF",4
"50","asci","Peak_10","10-year flood magnitude","SB2","UHMF",3
"51","asci","Peak_10","10-year flood magnitude","SB2","UHUF",2
"52","asci","Peak_2","2-year flood magnitude","HB","UHLF",2
"53","asci","Peak_2","2-year flood magnitude","HB","UHMF",12
"54","asci","Peak_2","2-year flood magnitude","NAT","HLF",1
"55","asci","Peak_2","2-year flood magnitude","NAT","HMF",20
"56","asci","Peak_2","2-year flood magnitude","NAT","UHLF",5
"57","asci","Peak_2","2-year flood magnitude","NAT","UHMF",28
"58","asci","Peak_2","2-year flood magnitude","NATHigh","HMF",22
"59","asci","Peak_2","2-year flood magnitude","NATHigh","UHLF",14
"60","asci","Peak_2","2-year flood magnitude","NATHigh","UHMF",77
"61","asci","Peak_2","2-year flood magnitude","NATLow","HMF",12
"62","asci","Peak_2","2-year flood magnitude","NATLow","HUF",42
"63","asci","Peak_2","2-year flood magnitude","NATLow","UHLF",6
"64","asci","Peak_2","2-year flood magnitude","NATLow","UHMF",26
"65","asci","Peak_2","2-year flood magnitude","NATLow","UHUF",27
"66","asci","Peak_2","2-year flood magnitude","NATMed","HLF",1
"67","asci","Peak_2","2-year flood magnitude","NATMed","HMF",31
"68","asci","Peak_2","2-year flood magnitude","NATMed","UHLF",12
"69","asci","Peak_2","2-year flood magnitude","NATMed","UHMF",69
"70","asci","Peak_2","2-year flood magnitude","SB0","UHMF",1
"71","asci","Peak_2","2-year flood magnitude","SB2","UHLF",4
"72","asci","Peak_2","2-year flood magnitude","SB2","UHMF",1
"73","asci","Peak_2","2-year flood magnitude","SB2","UHUF",2
"74","asci","Peak_5","5-year flood magnitude","HB","UHLF",1
"75","asci","Peak_5","5-year flood magnitude","HB","UHMF",13
"76","asci","Peak_5","5-year flood magnitude","NAT","HMF",10
"77","asci","Peak_5","5-year flood magnitude","NAT","UHMF",29
"78","asci","Peak_5","5-year flood magnitude","NATHigh","HMF",15
"79","asci","Peak_5","5-year flood magnitude","NATHigh","UHLF",21
"80","asci","Peak_5","5-year flood magnitude","NATHigh","UHMF",57
"81","asci","Peak_5","5-year flood magnitude","NATLow","HMF",38
"82","asci","Peak_5","5-year flood magnitude","NATLow","UHLF",6
"83","asci","Peak_5","5-year flood magnitude","NATLow","UHMF",49
