"","metric","ThresholdNAT_Lower","ThresholdNAT_Upper","ThresholdNATMed_Lower","ThresholdNATMed_Upper","ThresholdNATLow_Lower","ThresholdNATLow_Upper","ThresholdNATHigh_Lower","ThresholdNATHigh_Upper","ThresholdHB_Lower","ThresholdHB_Upper","ThresholdSB0_Lower","ThresholdSB0_Upper","ThresholdSB2_Lower","ThresholdSB2_Upper","n","Index","Hydro_endpoint","SmoothingFunc","Quantile"
"1","csci_DS_Mag_50_3_0.99",NA,54.5601934240486,NA,54.5601934240486,NA,74.7121810098006,NA,38.1918151840456,NA,69.6737079707778,NA,55.8195195707696,NA,59.5976576826572,14141,"csci","DS_Mag_50",3,"0.99"
"2","csci_FA_Mag_3_0.99",NA,338.97913940285,NA,338.97913940285,NA,592.342281962065,NA,216.314000561783,NA,506.419597087364,NA,350.169425548613,NA,385.98747367209,11590,"csci","FA_Mag",3,"0.99"
"3","csci_Peak_10_3_0.99",-19661.4724726904,NA,-19661.4724726904,NA,NA,NA,-13489.0801462488,NA,NA,NA,-20138.216962255,NA,-21569.4584982304,NA,17273,"csci","Peak_10",3,"0.99"
"4","csci_Peak_2_3_0.99",NA,NA,NA,NA,NA,NA,-4730.24353233461,NA,NA,NA,NA,NA,NA,NA,17980,"csci","Peak_2",3,"0.99"
"5","csci_Peak_5_3_0.99",NA,NA,NA,NA,NA,NA,-9209.30359927066,NA,NA,NA,NA,NA,NA,NA,18999,"csci","Peak_5",3,"0.99"
"6","csci_SP_Mag_3_0.99",NA,NA,NA,NA,NA,NA,NA,2075.08646690406,NA,NA,NA,NA,NA,NA,14103,"csci","SP_Mag",3,"0.99"
"7","csci_Wet_BFL_Mag_10_3_0.99",-87.1729065659198,56.0749666652371,-87.1729065659198,56.0749666652371,NA,71.6387631521523,-72.7037390852693,42.7288224439725,NA,67.791213736191,-88.2734849062324,57.0668952667418,NA,60.0221845942562,79019,"csci","Wet_BFL_Mag_10",3,"0.99"
"8","csci_Wet_BFL_Mag_50_3_0.99",NA,NA,NA,NA,NA,NA,-363.510594465674,NA,NA,NA,NA,NA,NA,NA,143499,"csci","Wet_BFL_Mag_50",3,"0.99"
"9","csci_Q99_3_0.99",-16043.9261633112,NA,-16043.9261633112,NA,-27261.6336022437,NA,-10152.763475178,NA,-23676.4648518244,NA,-16572.5239314448,NA,-18250.6404159771,NA,33828,"csci","Q99",3,"0.99"
"10","csci_DS_Mag_50_3_0.9",NA,23.4179635249314,NA,23.4179635249314,NA,43.0939737450911,NA,11.6826444331461,NA,37.3070255016602,NA,24.4333732985276,NA,27.6093792155291,14141,"csci","DS_Mag_50",3,"0.9"
"11","csci_FA_Mag_3_0.9",NA,219.403589860726,NA,219.403589860726,NA,392.148420222038,NA,113.995668014705,NA,341.971645199842,NA,228.46882701406,NA,256.729805468283,11590,"csci","FA_Mag",3,"0.9"
"12","csci_Peak_10_3_0.9",-13304.2807330348,NA,-13304.2807330348,NA,-21213.2845549202,NA,-6878.27813468275,NA,-19236.0289501204,NA,-13798.5915479555,NA,-15281.5259593596,NA,17273,"csci","Peak_10",3,"0.9"
"13","csci_Peak_2_3_0.9",-5618.63585470342,NA,-5618.63585470342,NA,NA,NA,-2245.76056434307,NA,NA,NA,-5989.61627929384,NA,-7216.73409817802,NA,17980,"csci","Peak_2",3,"0.9"
"14","csci_Peak_5_3_0.9",-13372.3951583415,NA,-13372.3951583415,NA,NA,NA,-5161.04903632828,NA,NA,NA,-14420.957162132,NA,-18329.2837874909,NA,18999,"csci","Peak_5",3,"0.9"
"15","csci_SP_Mag_3_0.9",NA,2173.81217636572,NA,2173.81217636572,NA,NA,NA,1492.1713091058,NA,NA,NA,2223.48442765545,NA,NA,14103,"csci","SP_Mag",3,"0.9"
"16","csci_Wet_BFL_Mag_10_3_0.9",-76.5365070433534,39.1420447175245,-76.5365070433534,39.1420447175245,NA,55.8991960932796,-58.9227474662636,23.7228084333175,NA,51.845641030624,-77.8147555882538,40.2415934629253,-81.6211813805055,43.4889783838586,79019,"csci","Wet_BFL_Mag_10",3,"0.9"
