"","Index","Hydro_endpoint","Flow.Metric.Name","Threshold","Result","n","TotalPerCat","PercChans"
"1","asci","DS_Mag_50","Dry-season median baseflow","HB","UHLF",1,21,4.76190476190476
"2","asci","DS_Mag_50","Dry-season median baseflow","HB","UHMF",20,21,95.2380952380952
"3","asci","DS_Mag_50","Dry-season median baseflow","NAT","HMF",26,65,40
"4","asci","DS_Mag_50","Dry-season median baseflow","NAT","UHMF",39,65,60
"5","asci","DS_Mag_50","Dry-season median baseflow","SB0","UHMF",2,2,100
"6","asci","DS_Mag_50","Dry-season median baseflow","SB1","HMF",1,4,25
"7","asci","DS_Mag_50","Dry-season median baseflow","SB1","UHMF",3,4,75
"8","asci","DS_Mag_50","Dry-season median baseflow","SB2","UHMF",13,13,100
"9","asci","DS_Mag_50","Dry-season median baseflow",NA,"HMF",11,37,29.7297297297297
"10","asci","DS_Mag_50","Dry-season median baseflow",NA,"UHMF",26,37,70.2702702702703
"11","asci","FA_Mag","Fall pulse magnitude","HB","UHLF",1,21,4.76190476190476
"12","asci","FA_Mag","Fall pulse magnitude","HB","UHMF",20,21,95.2380952380952
"13","asci","FA_Mag","Fall pulse magnitude","NAT","HMF",26,65,40
"14","asci","FA_Mag","Fall pulse magnitude","NAT","UHMF",39,65,60
"15","asci","FA_Mag","Fall pulse magnitude","SB0","UHMF",2,2,100
"16","asci","FA_Mag","Fall pulse magnitude","SB1","HMF",1,4,25
"17","asci","FA_Mag","Fall pulse magnitude","SB1","UHLF",1,4,25
"18","asci","FA_Mag","Fall pulse magnitude","SB1","UHMF",2,4,50
"19","asci","FA_Mag","Fall pulse magnitude","SB2","UHLF",5,13,38.4615384615385
"20","asci","FA_Mag","Fall pulse magnitude","SB2","UHMF",8,13,61.5384615384615
"21","asci","FA_Mag","Fall pulse magnitude",NA,"HMF",11,37,29.7297297297297
"22","asci","FA_Mag","Fall pulse magnitude",NA,"UHMF",26,37,70.2702702702703
"23","asci","Peak_10","10-year flood magnitude","HB","UHLF",10,14,71.4285714285714
"24","asci","Peak_10","10-year flood magnitude","HB","UHMF",4,14,28.5714285714286
"25","asci","Peak_10","10-year flood magnitude","NAT","HMF",8,35,22.8571428571429
"26","asci","Peak_10","10-year flood magnitude","NAT","UHLF",1,35,2.85714285714286
"27","asci","Peak_10","10-year flood magnitude","NAT","UHMF",26,35,74.2857142857143
"28","asci","Peak_10","10-year flood magnitude","SB0","UHMF",1,1,100
"29","asci","Peak_10","10-year flood magnitude","SB1","UHLF",1,3,33.3333333333333
"30","asci","Peak_10","10-year flood magnitude","SB1","UHMF",2,3,66.6666666666667
"31","asci","Peak_10","10-year flood magnitude","SB2","UHLF",4,9,44.4444444444444
"32","asci","Peak_10","10-year flood magnitude","SB2","UHMF",5,9,55.5555555555556
"33","asci","Peak_10","10-year flood magnitude",NA,"HMF",5,13,38.4615384615385
"34","asci","Peak_10","10-year flood magnitude",NA,"UHLF",1,13,7.69230769230769
"35","asci","Peak_10","10-year flood magnitude",NA,"UHMF",7,13,53.8461538461538
"36","asci","Peak_2","2-year flood magnitude","HB","UHLF",2,14,14.2857142857143
"37","asci","Peak_2","2-year flood magnitude","HB","UHMF",12,14,85.7142857142857
"38","asci","Peak_2","2-year flood magnitude","NAT","HLF",1,54,1.85185185185185
"39","asci","Peak_2","2-year flood magnitude","NAT","HMF",20,54,37.037037037037
"40","asci","Peak_2","2-year flood magnitude","NAT","UHLF",5,54,9.25925925925926
"41","asci","Peak_2","2-year flood magnitude","NAT","UHMF",28,54,51.8518518518518
"42","asci","Peak_2","2-year flood magnitude","SB0","UHMF",1,1,100
"43","asci","Peak_2","2-year flood magnitude","SB1","HMF",1,4,25
"44","asci","Peak_2","2-year flood magnitude","SB1","UHLF",1,4,25
"45","asci","Peak_2","2-year flood magnitude","SB1","UHMF",2,4,50
"46","asci","Peak_2","2-year flood magnitude","SB2","UHLF",4,7,57.1428571428571
"47","asci","Peak_2","2-year flood magnitude","SB2","UHMF",3,7,42.8571428571429
"48","asci","Peak_2","2-year flood magnitude",NA,"HMF",10,33,30.3030303030303
"49","asci","Peak_2","2-year flood magnitude",NA,"UHMF",23,33,69.6969696969697
"50","asci","Peak_5","5-year flood magnitude","HB","UHLF",1,14,7.14285714285714
"51","asci","Peak_5","5-year flood magnitude","HB","UHMF",13,14,92.8571428571429
"52","asci","Peak_5","5-year flood magnitude","NAT","HMF",10,39,25.6410256410256
"53","asci","Peak_5","5-year flood magnitude","NAT","UHMF",29,39,74.3589743589744
"54","asci","Peak_5","5-year flood magnitude","SB0","UHMF",1,1,100
"55","asci","Peak_5","5-year flood magnitude","SB1","UHLF",1,3,33.3333333333333
"56","asci","Peak_5","5-year flood magnitude","SB1","UHMF",2,3,66.6666666666667
