"","masterid","longitude","latitude","county","sampleyear","CSCI.Score","Modified.Class","Flow.Metric.Name","Change_in_Flow.Metric_Value_(cfs)","CSCI.Threshold","CSCI.Level","Flow.Alteration.Stress"
"1","402M00002",-119.29916,34.31063,"Ventura",2015,0.70665225,"Natural","Dry-season median baseflow",8.85889618714618,0.79,"Unhealthy Biology","Likely Stressed"
"2","402M00002",-119.29916,34.31063,"Ventura",2015,0.70665225,"Natural","Fall pulse magnitude",15.7441326087388,0.79,"Unhealthy Biology","Unlikely Stressed"
"3","402M00002",-119.29916,34.31063,"Ventura",2015,0.70665225,"Natural","10-year flood magnitude",-101.532232933733,0.79,"Unhealthy Biology","Likely Stressed"
"4","402M00002",-119.29916,34.31063,"Ventura",2015,0.70665225,"Natural","2-year flood magnitude",-1543.64476456877,0.79,"Unhealthy Biology","Likely Stressed"
"5","402M00002",-119.29916,34.31063,"Ventura",2015,0.70665225,"Natural","5-year flood magnitude",-1541.16720829171,0.79,"Unhealthy Biology","Likely Stressed"
"6","402M00002",-119.29916,34.31063,"Ventura",2015,0.70665225,"Natural","Spring recession magnitude",169.764948717949,0.79,"Unhealthy Biology","Likely Stressed"
"7","402M00002",-119.29916,34.31063,"Ventura",2015,0.70665225,"Natural","Wet-season low baseflow",-1.78898881118881,0.79,"Unhealthy Biology","Likely Stressed"
"8","402M00002",-119.29916,34.31063,"Ventura",2015,0.70665225,"Natural","Wet-season median baseflow",-0.355147685647679,0.79,"Unhealthy Biology","Likely Stressed"
"9","402M00002",-119.29916,34.31063,"Ventura",2015,0.70665225,"Natural","Magnitude of largest annual storm",-495.645833256169,0.79,"Unhealthy Biology","Likely Stressed"
"10","402M00009",-119.37505,34.41824,"Ventura",2015,0.28871308,"Natural","Dry-season median baseflow",1.33734315684316,0.79,"Unhealthy Biology","Unlikely Stressed"
"11","402M00009",-119.37505,34.41824,"Ventura",2015,0.28871308,"Natural","Fall pulse magnitude",32.2108036725351,0.79,"Unhealthy Biology","Likely Stressed"
"12","402M00009",-119.37505,34.41824,"Ventura",2015,0.28871308,"Natural","10-year flood magnitude",2130.75711738262,0.79,"Unhealthy Biology","Unlikely Stressed"
"13","402M00009",-119.37505,34.41824,"Ventura",2015,0.28871308,"Natural","2-year flood magnitude",1243.63397036297,0.79,"Unhealthy Biology","Likely Stressed"
"14","402M00009",-119.37505,34.41824,"Ventura",2015,0.28871308,"Natural","5-year flood magnitude",2312.64063086914,0.79,"Unhealthy Biology","Likely Stressed"
"15","402M00009",-119.37505,34.41824,"Ventura",2015,0.28871308,"Natural","Spring recession magnitude",113.283482184482,0.79,"Unhealthy Biology","Likely Stressed"
"16","402M00009",-119.37505,34.41824,"Ventura",2015,0.28871308,"Natural","Wet-season low baseflow",1.49478777888778,0.79,"Unhealthy Biology","Unlikely Stressed"
"17","402M00009",-119.37505,34.41824,"Ventura",2015,0.28871308,"Natural","Wet-season median baseflow",12.2232605727606,0.79,"Unhealthy Biology","Likely Stressed"
"18","402M00009",-119.37505,34.41824,"Ventura",2015,0.28871308,"Natural","Magnitude of largest annual storm",388.640900277401,0.79,"Unhealthy Biology","Likely Stressed"
"19","402M00015",-119.29151,34.47484,"Ventura",2016,0.70443282,"Natural","Dry-season median baseflow",0.80007350982351,0.79,"Unhealthy Biology","Unlikely Stressed"
"20","402M00015",-119.29151,34.47484,"Ventura",2016,0.70443282,"Natural","Fall pulse magnitude",18.2051930575343,0.79,"Unhealthy Biology","Unlikely Stressed"
"21","402M00015",-119.29151,34.47484,"Ventura",2016,0.70443282,"Natural","10-year flood magnitude",12.4199545787546,0.79,"Unhealthy Biology","Unlikely Stressed"
"22","402M00015",-119.29151,34.47484,"Ventura",2016,0.70443282,"Natural","2-year flood magnitude",-146.020461704961,0.79,"Unhealthy Biology","Likely Stressed"
"23","402M00015",-119.29151,34.47484,"Ventura",2016,0.70443282,"Natural","5-year flood magnitude",83.8054253413255,0.79,"Unhealthy Biology","Unlikely Stressed"
"24","402M00015",-119.29151,34.47484,"Ventura",2016,0.70443282,"Natural","Spring recession magnitude",110.986475191475,0.79,"Unhealthy Biology","Likely Stressed"
"25","402M00015",-119.29151,34.47484,"Ventura",2016,0.70443282,"Natural","Wet-season low baseflow",1.78153897768898,0.79,"Unhealthy Biology","Unlikely Stressed"
"26","402M00015",-119.29151,34.47484,"Ventura",2016,0.70443282,"Natural","Wet-season median baseflow",10.5852065434565,0.79,"Unhealthy Biology","Likely Stressed"
"27","402M00015",-119.29151,34.47484,"Ventura",2016,0.70443282,"Natural","Magnitude of largest annual storm",-58.2310077589814,0.79,"Unhealthy Biology","Likely Stressed"
"28","402M00029",-119.31172,34.35798,"Ventura",2016,0.35121727,"Natural","Dry-season median baseflow",0.507085414585415,0.79,"Unhealthy Biology","Unlikely Stressed"
