"","masterid","latitude","longitude","huc","county","smcshed","csci","sampledate","sampleyear","fieldreplicate","CSCI.Score","Modified.Class","CSCI.Threshold","CSCI.Level","Spring recession magnitude","Spring recession magnitude Stress Level","Dry-season median baseflow","Dry-season median baseflow Stress Level","Fall pulse magnitude","Fall pulse magnitude Stress Level","Wet-season low baseflow","Wet-season low baseflow Stress Level","Wet-season median baseflow","Wet-season median baseflow Stress Level","Magnitude of largest annual storm","Magnitude of largest annual storm Stress Level","2-year flood magnitude","2-year flood magnitude Stress Level","5-year flood magnitude","5-year flood magnitude Stress Level","10-year flood magnitude","10-year flood magnitude Stress Level"
"1","SMC15678",33.80989,-118.09075,405,"Los Angeles","San Gabriel",0.32904119,2021-07-15,2021,1,0.32904119,"Hard Bottom",0.79,"Unhealthy Biology",-132.915457042957,"Likely Stressed",22.6159293206793,"Very Likely Stressed",375.938941434555,"Very Likely Stressed",-19.9801487512487,"Likely Stressed",-44.0551388611387,"Likely Stressed",-1053.8249808532,"Likely Stressed",-410.214877455878,"Likely Stressed",-2296.03028205128,"Likely Stressed",-3868.55909723609,"Likely Stressed"
"2","404M07364",34.0968,-118.71734,404,"Los Angeles","Santa Monica Bay",0.80928445,2018-06-21,2018,1,0.80928445,"Natural",0.79,"Healthy Biology",241.742914085914,"Likely Stressed",4.19168448218447,"Likely Stressed",33.3535601809204,"Likely Stressed",5.27821120546121,"Likely Stressed",30.321352980353,"Likely Stressed",-1.07090132154259,"Likely Stressed",-285.895498501499,"Likely Stressed",-47.0484943722944,"Likely Stressed",64.0822559107559,"Likely Stressed"
"3","412M08638",34.20922,-118.17119,412,"Los Angeles","Los Angeles",0.98688507,2017-06-06,2017,1,0.99199514,"Natural",0.79,"Healthy Biology",104.172751415252,"Likely Stressed",1.04437437562438,"Unlikely Stressed",20.3777417878965,"Likely Stressed",0.581062737262736,"Unlikely Stressed",17.0433142690643,"Likely Stressed",-11.7497238977928,"Likely Stressed",-283.987480852481,"Likely Stressed",-66.1097394938395,"Likely Stressed",-5.40833982208265,"Likely Stressed"
"4","SMC01260",34.06502,-117.97473,405,"Los Angeles","San Gabriel",0.54567054,2019-08-05,2019,1,0.54567054,"Hard Bottom",0.79,"Unhealthy Biology",124.635175324675,"Likely Stressed",8.45199225774225,"Likely Stressed",69.5866163552336,"Likely Stressed",-1.10525396270396,"Likely Stressed",14.2141762404263,"Likely Stressed",-259.799910011348,"Likely Stressed",74.0471926406927,"Likely Stressed",-306.229669330669,"Likely Stressed",-1343.3510044955,"Likely Stressed"
"5","903M20124",33.29947,-117.08415,903,"San Diego","Northern San Diego",0.96650029,2015-07-09,2015,1,0.96650029,"Natural",0.79,"Healthy Biology",100.388672161172,"Likely Stressed",1.60885298035298,"Unlikely Stressed",-7.98120859666042,"Unlikely Stressed",1.79950392940393,"Likely Stressed",6.28431626706626,"Likely Stressed",-61.2921189923341,"Likely Stressed",-174.591982184482,"Likely Stressed",-5.83303929403936,"Likely Stressed",-33.3067625707626,"Likely Stressed"
"6","SMC05109",33.4745,-117.13858,902,"Riverside","Northern San Diego",0.61343003,2014-05-07,2014,2,0.58092846,"Natural",0.79,"Unhealthy Biology",19.0111618381619,"Likely Stressed",-0.364555694305694,"Unlikely Stressed",-8.19578991185384,"Unlikely Stressed",-0.551164718614717,"Likely Stressed",-2.16478021978021,"Likely Stressed",-826.92188119173,"Likely Stressed",-360.695555111555,"Likely Stressed",-1169.63984111127,"Likely Stressed",-1198.19249070929,"Likely Stressed"
"7","SMC01544",34.29729,-118.24843,412,"Los Angeles","Los Angeles",0.76452111,2021-06-15,2021,1,0.76452111,"Natural",0.79,"Unhealthy Biology",51.0800018315018,"Likely Stressed",-0.790368714618715,"Unlikely Stressed",2.97664287391353,"Unlikely Stressed",-2.67907447552448,"Likely Stressed",-0.477483183483181,"Likely Stressed",-97.1172213273382,"Likely Stressed",-57.3207066267066,"Likely Stressed",-68.7315616716617,"Likely Stressed",-165.091487812188,"Likely Stressed"
"8","901M14137",33.49418,-117.71659,901,"Orange","San Juan",0.43763239,2017-06-20,2017,1,0.43763239,"Natural",0.79,"Unhealthy Biology",144.549328338328,"Likely Stressed",1.32729170829171,"Unlikely Stressed",22.5112336965947,"Likely Stressed",1.62309891774892,"Likely Stressed",4.97058066933067,"Likely Stressed",-15.9316904192548,"Likely Stressed",136.294965534465,"Likely Stressed",40.7008093573092,"Unlikely Stressed",271.588938628039,"Likely Stressed"
"9","904M21729",33.09835,-117.13358,904,"San Diego","Central San Diego",0.79670314,2016-06-14,2016,1,0.79670314,"Natural",0.79,"Healthy Biology",54.5297057942058,"Likely Stressed",0.280928821178821,"Unlikely Stressed",3.09101466775113,"Unlikely Stressed",0.0247075424575426,"Unlikely Stressed",0.91160939060939,"Likely Stressed",-22.2318016849636,"Likely Stressed",-125.904326506827,"Likely Stressed",-10.4729952380953,"Likely Stressed",-36.1734025974026,"Likely Stressed"
"10","SMC16266",32.81855,-116.75313,909,"San Diego","Southern San Diego",0.82153319,2011-08-01,2011,1,0.82153319,"Natural",0.79,"Healthy Biology",25.7116498501499,"Likely Stressed",0.226501165501166,"Unlikely Stressed",5.77406430192715,"Unlikely Stressed",0.653376623376624,"Unlikely Stressed",1.74550915750916,"Likely Stressed",0.475193585312532,"Unlikely Stressed",-84.4415171495172,"Likely Stressed",-11.911361938062,"Likely Stressed",-1.5464731601731,"Likely Stressed"
