"","masterid","latitude","longitude","huc","county","smcshed","csci","sampledate","sampleyear","fieldreplicate","CSCI.Score","Modified.Class","Flow.Metric.Name","Change_in_Flow.Metric_Value_(cfs)","CSCI.Threshold","CSCI.Level","0.3","0.5","0.9","Flow.Alteration.Stress"
"1","SMC15678",33.80989,-118.09075,405,"Los Angeles","San Gabriel",0.32904119,2021-07-15,2021,1,0.32904119,"Hard Bottom","Dry-season median baseflow",22.6159293206793,0.67,"Unhealthy Biology","-9 to 1","-19 to 9","-29 to 27","Likely Stressed"
"2","SMC15678",33.80989,-118.09075,405,"Los Angeles","San Gabriel",0.32904119,2021-07-15,2021,1,0.32904119,"Hard Bottom","Fall pulse magnitude",375.938941434555,0.67,"Unhealthy Biology","-89 to 14","-143 to 78","-227 to 248","Very Likely Stressed"
"3","SMC15678",33.80989,-118.09075,405,"Los Angeles","San Gabriel",0.32904119,2021-07-15,2021,1,0.32904119,"Hard Bottom","10-year flood magnitude",-3868.55909723609,0.67,"Unhealthy Biology","0 to 178","-1419 to 4812","-18486 to 8060","Likely Stressed"
"4","SMC15678",33.80989,-118.09075,405,"Los Angeles","San Gabriel",0.32904119,2021-07-15,2021,1,0.32904119,"Hard Bottom","2-year flood magnitude",-410.214877455878,0.67,"Unhealthy Biology","0 to 0","-2012 to 929","-7944 to 2334","Unlikely Stressed"
"5","SMC15678",33.80989,-118.09075,405,"Los Angeles","San Gabriel",0.32904119,2021-07-15,2021,1,0.32904119,"Hard Bottom","5-year flood magnitude",-2296.03028205128,0.67,"Unhealthy Biology","0 to 0","-1804 to 3702","-18606 to 5693","Likely Stressed"
"6","SMC15678",33.80989,-118.09075,405,"Los Angeles","San Gabriel",0.32904119,2021-07-15,2021,1,0.32904119,"Hard Bottom","Spring recession magnitude",-132.915457042957,0.67,"Unhealthy Biology","0 to 0","-633 to 972","-1127 to 2290","Unlikely Stressed"
"7","SMC15678",33.80989,-118.09075,405,"Los Angeles","San Gabriel",0.32904119,2021-07-15,2021,1,0.32904119,"Hard Bottom","Wet-season low baseflow",-19.9801487512487,0.67,"Unhealthy Biology","0 to 0","-12 to 14","-89 to 44","Likely Stressed"
"8","SMC15678",33.80989,-118.09075,405,"Los Angeles","San Gabriel",0.32904119,2021-07-15,2021,1,0.32904119,"Hard Bottom","Wet-season median baseflow",-44.0551388611387,0.67,"Unhealthy Biology","0 to 0","-44 to 45","-368 to 205","Likely Stressed"
"9","SMC15678",33.80989,-118.09075,405,"Los Angeles","San Gabriel",0.32904119,2021-07-15,2021,1,0.32904119,"Hard Bottom","Magnitude of largest annual storm",-1053.8249808532,0.67,"Unhealthy Biology","0 to 0","-2586 to 0","-12692 to 1251","Unlikely Stressed"
"10","404M07364",34.0968,-118.71734,404,"Los Angeles","Santa Monica Bay",0.80928445,2018-06-21,2018,1,0.80928445,"Natural","Dry-season median baseflow",4.19168448218447,0.79,"Healthy Biology","0 to 0","-11 to 2","-28 to 17","Likely Stressed"
"11","404M07364",34.0968,-118.71734,404,"Los Angeles","Santa Monica Bay",0.80928445,2018-06-21,2018,1,0.80928445,"Natural","Fall pulse magnitude",33.3535601809204,0.79,"Healthy Biology","0 to 0","-81 to 18","-189 to 179","Likely Stressed"
"12","404M07364",34.0968,-118.71734,404,"Los Angeles","Santa Monica Bay",0.80928445,2018-06-21,2018,1,0.80928445,"Natural","10-year flood magnitude",64.0822559107559,0.79,"Healthy Biology","0 to 0","0 to 53","-12290 to 8060","Likely Stressed"
"13","404M07364",34.0968,-118.71734,404,"Los Angeles","Santa Monica Bay",0.80928445,2018-06-21,2018,1,0.80928445,"Natural","2-year flood magnitude",-285.895498501499,0.79,"Healthy Biology","0 to 0","0 to 0","-2535 to 2199","Likely Stressed"
"14","404M07364",34.0968,-118.71734,404,"Los Angeles","Santa Monica Bay",0.80928445,2018-06-21,2018,1,0.80928445,"Natural","5-year flood magnitude",-47.0484943722944,0.79,"Healthy Biology","0 to 0","0 to 287","-16893 to 5693","Likely Stressed"
"15","404M07364",34.0968,-118.71734,404,"Los Angeles","Santa Monica Bay",0.80928445,2018-06-21,2018,1,0.80928445,"Natural","Spring recession magnitude",241.742914085914,0.79,"Healthy Biology","0 to 0","0 to 0","-1127 to 2290","Likely Stressed"
"16","404M07364",34.0968,-118.71734,404,"Los Angeles","Santa Monica Bay",0.80928445,2018-06-21,2018,1,0.80928445,"Natural","Wet-season low baseflow",5.27821120546121,0.79,"Healthy Biology","0 to 0","0 to 1","-38 to 30","Likely Stressed"
"17","404M07364",34.0968,-118.71734,404,"Los Angeles","Santa Monica Bay",0.80928445,2018-06-21,2018,1,0.80928445,"Natural","Wet-season median baseflow",30.321352980353,0.79,"Healthy Biology","0 to 0","0 to 0","-337 to 205","Likely Stressed"
"18","404M07364",34.0968,-118.71734,404,"Los Angeles","Santa Monica Bay",0.80928445,2018-06-21,2018,1,0.80928445,"Natural","Magnitude of largest annual storm",-1.07090132154259,0.79,"Healthy Biology","0 to 0","0 to 929","-8137 to 1251","Likely Stressed"
"19","412M08638",34.20922,-118.17119,412,"Los Angeles","Los Angeles",0.98688507,2017-06-06,2017,1,0.99199514,"Natural","Dry-season median baseflow",1.04437437562438,0.79,"Healthy Biology","0 to 0","-11 to 2","-28 to 17","Unlikely Stressed"
"20","412M08638",34.20922,-118.17119,412,"Los Angeles","Los Angeles",0.98688507,2017-06-06,2017,1,0.99199514,"Natural","Fall pulse magnitude",20.3777417878965,0.79,"Healthy Biology","0 to 0","-81 to 18","-189 to 179","Likely Stressed"
"21","412M08638",34.20922,-118.17119,412,"Los Angeles","Los Angeles",0.98688507,2017-06-06,2017,1,0.99199514,"Natural","10-year flood magnitude",-5.40833982208265,0.79,"Healthy Biology","0 to 0","0 to 53","-12290 to 8060","Likely Stressed"
"22","412M08638",34.20922,-118.17119,412,"Los Angeles","Los Angeles",0.98688507,2017-06-06,2017,1,0.99199514,"Natural","2-year flood magnitude",-283.987480852481,0.79,"Healthy Biology","0 to 0","0 to 0","-2535 to 2199","Likely Stressed"
"23","412M08638",34.20922,-118.17119,412,"Los Angeles","Los Angeles",0.98688507,2017-06-06,2017,1,0.99199514,"Natural","5-year flood magnitude",-66.1097394938395,0.79,"Healthy Biology","0 to 0","0 to 287","-16893 to 5693","Likely Stressed"
"24","412M08638",34.20922,-118.17119,412,"Los Angeles","Los Angeles",0.98688507,2017-06-06,2017,1,0.99199514,"Natural","Spring recession magnitude",104.172751415252,0.79,"Healthy Biology","0 to 0","0 to 0","-1127 to 2290","Likely Stressed"
"25","412M08638",34.20922,-118.17119,412,"Los Angeles","Los Angeles",0.98688507,2017-06-06,2017,1,0.99199514,"Natural","Wet-season low baseflow",0.581062737262736,0.79,"Healthy Biology","0 to 0","0 to 1","-38 to 30","Unlikely Stressed"
