"","masterid","latitude","longitude","huc","county","smcshed","csci","sampledate","sampleyear","fieldreplicate","CSCI.Score","Modified.Class","Unhealthy Biology, Unlikely Stressed","Unhealthy Biology, Likely Stressed","Healthy Biology, Unlikely Stressed","Healthy Biology, Likely Stressed","Unhealthy Biology,  Very Likely Stressed","Healthy Biology,  Very Likely Stressed","Total Stressed FFM"
"1","SMC15678",33.80989,-118.09075,405,"Los Angeles","San Gabriel",0.32904119,2021-07-15,2021,1,0.32904119,"Hard Bottom",0,7,0,0,2,0,9
"2","404M07364",34.0968,-118.71734,404,"Los Angeles","Santa Monica Bay",0.80928445,2018-06-21,2018,1,0.80928445,"Natural",0,0,0,9,0,0,0
"3","412M08638",34.20922,-118.17119,412,"Los Angeles","Los Angeles",0.98688507,2017-06-06,2017,1,0.99199514,"Natural",0,0,2,7,0,0,0
"4","SMC01260",34.06502,-117.97473,405,"Los Angeles","San Gabriel",0.54567054,2019-08-05,2019,1,0.54567054,"Hard Bottom",0,9,0,0,0,0,9
"5","903M20124",33.29947,-117.08415,903,"San Diego","Northern San Diego",0.96650029,2015-07-09,2015,1,0.96650029,"Natural",0,0,2,7,0,0,0
"6","SMC05109",33.4745,-117.13858,902,"Riverside","Northern San Diego",0.61343003,2014-05-07,2014,2,0.58092846,"Natural",2,7,0,0,0,0,7
"7","SMC01544",34.29729,-118.24843,412,"Los Angeles","Los Angeles",0.76452111,2021-06-15,2021,1,0.76452111,"Natural",2,7,0,0,0,0,7
"8","901M14137",33.49418,-117.71659,901,"Orange","San Juan",0.43763239,2017-06-20,2017,1,0.43763239,"Natural",2,7,0,0,0,0,7
"9","904M21729",33.09835,-117.13358,904,"San Diego","Central San Diego",0.79670314,2016-06-14,2016,1,0.79670314,"Natural",0,0,3,6,0,0,0
"10","SMC16266",32.81855,-116.75313,909,"San Diego","Southern San Diego",0.82153319,2011-08-01,2011,1,0.82153319,"Natural",0,0,4,5,0,0,0
"11","SMC02536",34.26861,-118.6736,408,"Ventura","Calleguas",0.60351498,2011-06-29,2011,1,0.60351498,"Hard Bottom",3,6,0,0,0,0,6
"12","SMC08335",34.34583,-119.29948,402,"Ventura","Ventura",0.79271796,2010-07-07,2010,1,0.79271796,"Natural",0,0,1,8,0,0,0
"13","SMC20497",34.31227,-119.29853,402,"Ventura","Ventura",0.67961298,2013-07-16,2013,1,0.67961298,"Natural",1,8,0,0,0,0,8
"14","SMC20032",33.87664,-118.10774,405,"Los Angeles","San Gabriel",0.37813902,2019-07-22,2019,1,0.37813902,"Hard Bottom",0,7,0,0,2,0,9
"15","SMC19697",34.34807,-119.30096,402,"Ventura","Ventura",0.77587468,2013-06-24,2013,1,0.77587468,"Natural",1,8,0,0,0,0,8
"16","SMC21921",33.8878,-117.50574,801,"Riverside","Middle Santa Ana",0.32514129,2013-06-13,2013,2,0.3158459,"Hard Bottom",0,9,0,0,0,0,9
"17","412M08630",34.05961,-118.08902,412,"Los Angeles","Los Angeles",0.31807442,2017-05-17,2017,1,0.31807442,"Hard Bottom",0,6,0,0,3,0,9
"18","902M18893",33.45304,-117.17403,902,"Riverside","Northern San Diego",0.80896179,2017-05-18,2017,1,0.80896179,"Natural",0,0,2,7,0,0,0
"19","SMC00190",34.01488,-118.04783,405,"Los Angeles","San Gabriel",0.41560858,2008-06-25,2008,1,0.41560858,"Hard Bottom",1,8,0,0,0,0,8
"20","SMC01158",32.96281,-117.16676,906,"San Diego","Central San Diego",0.49183638,2009-05-20,2009,1,0.49183638,"Natural",1,8,0,0,0,0,8
"21","SMC08094",33.81951,-117.8536,801,"Orange","Lower Santa Ana",0.49320633,2012-06-28,2012,1,0.49320633,"Soft Bottom (2)",0,2,0,0,7,0,9
"22","SMC09118",33.80876,-117.86259,801,"Orange","Lower Santa Ana",0.38672401,2013-05-22,2013,1,0.38672401,"Soft Bottom (2)",0,2,0,0,7,0,9
"23","SMC02152",34.09801,-118.7217,404,"Los Angeles","Santa Monica Bay",0.53676253,2010-07-14,2010,1,0.53676253,"Natural",1,8,0,0,0,0,8
"24","SMC13391",34.41791,-119.26998,402,"Ventura","Ventura",0.88988338,2012-06-21,2012,1,0.88988338,"Natural",0,0,2,7,0,0,0
"25","SMC03110",32.81105,-117.07335,907,"San Diego","Mission Bay and San Diego River",0.60435928,2011-07-26,2011,1,0.60435928,"Natural",3,6,0,0,0,0,6
"26","SMC04682",32.97115,-116.64814,907,"San Diego","Mission Bay and San Diego River",1.07793013,2011-07-25,2011,1,1.07793013,"Natural",0,0,2,7,0,0,0
"27","SMC08150",32.83731,-117.01975,907,"San Diego","Mission Bay and San Diego River",0.73153765,2014-07-08,2014,1,0.73153765,"Natural",3,6,0,0,0,0,6
"28","801M16973",33.93481,-117.34516,801,"Riverside","Middle Santa Ana",0.73132663,2018-06-06,2018,1,0.73132663,"Natural",2,7,0,0,0,0,7
"29","SMC04532",34.15595,-118.28771,412,"Los Angeles","Los Angeles",0.64466926,2012-07-11,2012,1,0.64466926,"Hard Bottom",1,8,0,0,0,0,8
"30","905M21721",33.00843,-117.16525,905,"San Diego","Central San Diego",0.67998428,2015-06-26,2015,1,0.67998428,"Natural",2,7,0,0,0,0,7
"31","906M21770",32.90376,-117.22665,906,"San Diego","Central San Diego",0.61784957,2018-05-29,2018,1,0.61784957,"Hard Bottom",1,8,0,0,0,0,8
"32","SMC01772",34.11001,-118.1228,412,"Los Angeles","Los Angeles",0.5946632,2012-07-11,2012,1,0.5946632,"Hard Bottom",0,7,0,0,2,0,9
"33","SMC01824",34.09116,-117.75598,405,"Los Angeles","San Gabriel",0.60387461,2012-06-21,2012,1,0.60387461,"Hard Bottom",0,9,0,0,0,0,9
"34","SMC03646",33.9784,-118.1691,412,"Los Angeles","Los Angeles",0.53242816,2013-06-05,2013,1,0.53242816,"Hard Bottom",0,8,0,0,1,0,9
"35","SMC06863",34.49417,-119.30534,402,"Ventura","Ventura",0.9775222,2011-07-21,2011,1,0.9775222,"Natural",0,0,2,7,0,0,0
"36","SMC16045",33.8819,-117.52249,801,"Riverside","Middle Santa Ana",0.50959439,2012-06-28,2012,1,0.50959439,"Hard Bottom",0,9,0,0,0,0,9
"37","402M00002",34.31063,-119.29916,402,"Ventura","Ventura",0.70665225,2015-08-13,2015,1,0.70665225,"Natural",1,8,0,0,0,0,8
"38","SMC01320",34.29856,-118.25082,412,"Los Angeles","Los Angeles",1.01914883,2022-06-22,2022,1,1.01914883,"Natural",0,0,2,7,0,0,0
"39","SMC02656",34.07498,-117.87216,405,"Los Angeles","San Gabriel",0.46463614,2018-08-06,2018,1,0.46463614,"Hard Bottom",0,9,0,0,0,0,9
"40","801M16957",33.85539,-117.3551,801,"Riverside","Middle Santa Ana",0.48212764,2019-05-10,2019,1,0.48212764,"Natural",2,7,0,0,0,0,7
"41","802M17015",33.73057,-116.80939,802,"Riverside","San Jacinto",0.95649503,2020-06-08,2020,2,0.95669495,"Natural",0,0,2,7,0,0,0
"42","404M07364",34.0968,-118.71734,404,"Los Angeles","Santa Monica Bay",0.80096734,2018-06-21,2018,2,0.80928445,"Natural",0,0,0,9,0,0,0
"43","412M08602",33.97131,-118.16996,412,"Los Angeles","Los Angeles",0.41044659,2015-09-30,2015,1,0.41044659,"Hard Bottom",0,8,0,0,1,0,9
"44","412M08616",34.18855,-118.61028,412,"Los Angeles","Los Angeles",0.48068983,2016-06-02,2016,1,0.48068983,"Hard Bottom",2,7,0,0,0,0,7
"45","SMC17056",34.4263,-118.5779,403,"Los Angeles","Santa Clara",0.72649786,2009-07-02,2009,1,0.72649786,"Natural",0,9,0,0,0,0,9
