"","df","AIC","DevianceExplained","RSquared","Variable","Metric","Smooths","Model"
"gamm_intercept...1",6.97199319499183,-449.990944385099,0.38915785028595,0.38548272616138,"d_ds_mag_50","csci",3,"gamm_intercept"
"gamm_slope...2",7.70565404455148,-218.126325426915,0.192639785633657,0.187307381304741,"d_ds_mag_50","csci",3,"gamm_slope"
"gamm_int_slope...3",11.69219096095,-470.765423079945,0.411098564540612,0.404573379636092,"d_ds_mag_50","csci",3,"gamm_int_slope"
"gamm_intercept...4",6.98794119179695,-459.391465061739,0.396093618918437,0.392464478857817,"d_fa_mag","csci",3,"gamm_intercept"
"gamm_slope...5",7.43822097548613,-204.717416685436,0.17889498335725,0.174082550353592,"d_fa_mag","csci",3,"gamm_slope"
"gamm_int_slope...6",9.70143461529879,-460.250609095007,0.400672100553832,0.39564639595698,"d_fa_mag","csci",3,"gamm_int_slope"
"gamm_intercept...7",7.58492060313189,-449.932713212723,0.390020719371716,0.386080750267883,"d_peak_10","csci",3,"gamm_intercept"
"gamm_slope...8",7.72478920885174,-131.089909480023,0.102965285062115,0.097296184190188,"d_peak_10","csci",3,"gamm_slope"
"gamm_int_slope...9",7.58564510461711,-449.931775616615,0.39002109703212,0.386080856785691,"d_peak_10","csci",3,"gamm_int_slope"
"gamm_intercept...10",7.34099148445044,-450.682129890861,0.390213842824112,0.386398201085489,"d_peak_2","csci",3,"gamm_intercept"
"gamm_slope...11",6.8620753702234,-77.8723766053411,0.0412681094850247,0.0360230629502249,"d_peak_2","csci",3,"gamm_slope"
"gamm_int_slope...12",7.34012876535801,-450.682673065074,0.390212970029051,0.386397739673215,"d_peak_2","csci",3,"gamm_int_slope"
"gamm_intercept...13",6.97278593148042,-450.904428515715,0.389834186338467,0.386158560535262,"d_peak_5","csci",3,"gamm_intercept"
"gamm_slope...14",7.64696153974416,-97.6142083211387,0.0656879431257715,0.0600780856400142,"d_peak_5","csci",3,"gamm_slope"
"gamm_int_slope...15",6.97283745686524,-450.90434543682,0.389834201091682,0.386158568420149,"d_peak_5","csci",3,"gamm_int_slope"
"gamm_intercept...16",7.97815480817477,-452.755589015595,0.392680310172831,0.388383035823749,"d_sp_mag","csci",3,"gamm_intercept"
"gamm_slope...17",7.54088012412302,-106.007968926623,0.0748966986811711,0.0689742222876173,"d_sp_mag","csci",3,"gamm_slope"
"gamm_int_slope...18",10.7043535714376,-454.711787209244,0.398103153031073,0.392432320351106,"d_sp_mag","csci",3,"gamm_int_slope"
"gamm_intercept...19",7.9898076702971,-454.613015814411,0.394061552939843,0.389739045675168,"d_wet_bfl_mag_10","csci",3,"gamm_intercept"
"gamm_slope...20",7.91869508591035,-130.728957226714,0.102994453963952,0.0968075594620543,"d_wet_bfl_mag_10","csci",3,"gamm_slope"
"gamm_int_slope...21",11.6893479141842,-465.142062434647,0.407071597440629,0.400600363112907,"d_wet_bfl_mag_10","csci",3,"gamm_int_slope"
"gamm_intercept...22",7.97329561417151,-450.458887449089,0.390982136212585,0.386685303687839,"d_wet_bfl_mag_50","csci",3,"gamm_intercept"
"gamm_slope...23",7.84994648507162,-80.1415611985911,0.0461825248810231,0.0400305406308571,"d_wet_bfl_mag_50","csci",3,"gamm_slope"
"gamm_int_slope...24",9.26318652664913,-449.783124293492,0.392384370993649,0.38754259278144,"d_wet_bfl_mag_50","csci",3,"gamm_int_slope"
"gamm_intercept...25",7.7715941986893,-449.278768308072,0.389813470138504,0.38574639583615,"delta_q99","csci",3,"gamm_intercept"
"gamm_slope...26",7.94889898935879,-101.498279216681,0.0707506199652886,0.0643498132043036,"delta_q99","csci",3,"gamm_slope"
"gamm_int_slope...27",10.3435159477075,-450.968095988502,0.394840479968293,0.389208479742718,"delta_q99","csci",3,"gamm_int_slope"
"gamm_intercept...28",10.5964158735813,-484.793745694185,0.419477480018548,0.413569888953447,"d_ds_mag_50","csci",6,"gamm_intercept"
"gamm_slope...29",10.1589177057439,-299.396529040334,0.272626756419377,0.265686765847218,"d_ds_mag_50","csci",6,"gamm_slope"
