"","df","AIC","DevianceExplained","RSquared","Variable","Metric","Smooths","Quants"
"gamm_intercept...1",5.9808374718323,173.294125323049,0.743107226673764,0.355537843250295,"d_ds_mag_50","csci",3,0.9
"gamm_slope...2",6.73775548727729,390.502171487954,0.699955979575968,0.136249770754717,"d_ds_mag_50","csci",3,0.9
"gamm_int_slope...3",6.65432811353164,110.764395116035,0.753950077944737,0.356737651542317,"d_ds_mag_50","csci",3,0.9
"gamm_intercept...4",5.97935938744881,208.701406225385,0.744271970808066,0.357135736699717,"d_fa_mag","csci",3,0.9
"gamm_slope...5",6.72297134310188,526.815995388532,0.701214215269581,0.0690736120081972,"d_fa_mag","csci",3,0.9
"gamm_int_slope...6",5.98001015610379,141.743427714083,0.751265333048399,0.357993727325782,"d_fa_mag","csci",3,0.9
"gamm_intercept...7",6.06965611732079,200.43176793853,0.74318750087147,0.359489014817135,"d_peak_10","csci",3,0.9
"gamm_slope...8",5.64946514291255,677.442462134331,0.677310520706463,0.0655233239509708,"d_peak_10","csci",3,0.9
"gamm_int_slope...9",8.67436737900506,134.283972352287,0.745588989419502,0.354558577333087,"d_peak_10","csci",3,0.9
"gamm_intercept...10",6.84270190947807,196.877361597022,0.744563658322904,0.353845764290725,"d_peak_2","csci",3,0.9
"gamm_slope...11",2.90870706494872,439.082368419395,0.66670343663936,-0.0234962632608202,"d_peak_2","csci",3,0.9
"gamm_int_slope...12",7.87843842591033,193.874696973251,0.751892806629641,0.356431356501885,"d_peak_2","csci",3,0.9
"gamm_intercept...13",5.97583727662232,210.203439288802,0.743096881280509,0.360099758591871,"d_peak_5","csci",3,0.9
"gamm_slope...14",6.89912128169293,396.799958800304,0.681691533660987,-0.00620201206526838,"d_peak_5","csci",3,0.9
"gamm_int_slope...15",8.73405079661169,145.149620358406,0.745996384151405,0.355406934694806,"d_peak_5","csci",3,0.9
"gamm_intercept...16",6.6841933377633,196.871233811878,0.744210652530412,0.355641472627232,"d_sp_mag","csci",3,0.9
"gamm_slope...17",4.95456420443629,525.536972313279,0.671698849802373,-0.0483111540570802,"d_sp_mag","csci",3,0.9
"gamm_int_slope...18",7.73395782372003,189.36702468107,0.751494184382528,0.357861882973857,"d_sp_mag","csci",3,0.9
"gamm_intercept...19",6.98345700814612,186.461791421048,0.7462844023943,0.357272909864245,"d_wet_bfl_mag_10","csci",3,0.9
"gamm_slope...20",5.34372988362456,499.276398332975,0.674342959066059,0.0576727161803424,"d_wet_bfl_mag_10","csci",3,0.9
"gamm_int_slope...21",6.98799957001959,116.104781611768,0.75408055545006,0.358272768815825,"d_wet_bfl_mag_10","csci",3,0.9
"gamm_intercept...22",6.98556928530819,169.523612887905,0.745378256382486,0.354512475515896,"d_wet_bfl_mag_50","csci",3,0.9
"gamm_slope...23",3.51420374080749,565.917702900722,0.664455505255686,0.0238883173048873,"d_wet_bfl_mag_50","csci",3,0.9
"gamm_int_slope...24",6.98659550277707,102.463765563208,0.747709623666588,0.354678835805816,"d_wet_bfl_mag_50","csci",3,0.9
"gamm_intercept...25",5.98040663222935,213.809580290013,0.744261815066042,0.354843230494128,"delta_q99","csci",3,0.9
"gamm_slope...26",2.99665136511001,392.795540657025,0.673558902714572,0.0271474180122889,"delta_q99","csci",3,0.9
"gamm_int_slope...27",9.91193223369441,94.6196354973184,0.755525720334702,0.360389590848524,"delta_q99","csci",3,0.9
"gamm_intercept...28",5.97718236719437,-423.960249296794,0.341860522416129,0.385175190534844,"d_ds_mag_50","csci",3,0.5
"gamm_slope...29",6.55374414160447,-176.361519324233,0.195944770659444,0.17777990960739,"d_ds_mag_50","csci",3,0.5
"gamm_int_slope...30",10.3933744551044,-444.422032776916,0.372921830738216,0.404159064048139,"d_ds_mag_50","csci",3,0.5
"gamm_intercept...31",5.97562147695683,-430.181533924415,0.348733556584477,0.392155553510771,"d_fa_mag","csci",3,0.5
"gamm_slope...32",6.56732176143416,-156.930721727404,0.17794161788902,0.169348981054934,"d_fa_mag","csci",3,0.5
"gamm_int_slope...33",8.45127211440654,-441.205579219754,0.360436655155834,0.394916577584435,"d_fa_mag","csci",3,0.5
"gamm_intercept...34",6.0951117482325,-427.950684135956,0.343342904892114,0.385354637715343,"d_peak_10","csci",3,0.5
"gamm_slope...35",6.76618449087631,-98.7852859312491,0.0952674700191856,0.0973890450105522,"d_peak_10","csci",3,0.5
"gamm_int_slope...36",6.17752143592073,-431.800456111942,0.343405958397727,0.385396396423251,"d_peak_10","csci",3,0.5
"gamm_intercept...37",5.97922278803803,-431.681233026253,0.34332297511138,0.385579064720993,"d_peak_2","csci",3,0.5
"gamm_slope...38",5.92654057506941,-48.5804142276572,0.0411176470154304,0.0365497404267222,"d_peak_2","csci",3,0.5
"gamm_int_slope...39",6.53342532739019,-439.681174651467,0.35046623637774,0.38564788961193,"d_peak_2","csci",3,0.5
"gamm_intercept...40",5.97800216911122,-426.465788231122,0.341788861895319,0.385739473327535,"d_peak_5","csci",3,0.5
"gamm_slope...41",5.97974624356194,-75.9748532326695,0.0636069893629101,0.0585567078729832,"d_peak_5","csci",3,0.5
"gamm_int_slope...42",5.97954878427955,-430.794058632444,0.341797185197069,0.385732564354846,"d_peak_5","csci",3,0.5
"gamm_intercept...43",6.98739897081045,-430.798853980265,0.351400478461818,0.387931486464709,"d_sp_mag","csci",3,0.5
"gamm_slope...44",6.58241408695484,-31.5340974029395,0.0796086386638161,0.0655381653104776,"d_sp_mag","csci",3,0.5
"gamm_int_slope...45",9.54432142094867,-433.056147514561,0.361088415315563,0.391452951374214,"d_sp_mag","csci",3,0.5
"gamm_intercept...46",6.99109854406807,-432.358940988621,0.349096469298908,0.389081737438949,"d_wet_bfl_mag_10","csci",3,0.5
"gamm_slope...47",6.95910148085587,-50.8646865184289,0.101691481982879,0.0951083800700705,"d_wet_bfl_mag_10","csci",3,0.5
"gamm_int_slope...48",10.8307448195521,-445.747996571592,0.370242198235905,0.40005346814276,"d_wet_bfl_mag_10","csci",3,0.5
"gamm_intercept...49",6.97683059689711,-428.459149231566,0.347023832811046,0.386165007736746,"d_wet_bfl_mag_50","csci",3,0.5
"gamm_slope...50",6.84489602894533,-53.4082560588721,0.0458564782029973,0.0394687301127584,"d_wet_bfl_mag_50","csci",3,0.5
"gamm_int_slope...51",8.29758748357805,-431.186104510212,0.350997045828802,0.386987921214062,"d_wet_bfl_mag_50","csci",3,0.5
"gamm_intercept...52",6.59601166296186,-420.837424255077,0.344169158454302,0.385125225986704,"delta_q99","csci",3,0.5
"gamm_slope...53",6.94409829552554,-74.080289955607,0.0683575992242405,0.0647094624896613,"delta_q99","csci",3,0.5
"gamm_int_slope...54",6.64108846362718,-428.171371693518,0.346907033386907,0.38518889840174,"delta_q99","csci",3,0.5
"gamm_intercept...55",8.40032494985043,144.446900044997,0.75301951797213,0.376644471692933,"d_ds_mag_50","csci",6,0.9
