"","masterid","sampleyear","MetricValue","deltah_final","hydro.endpoints","ChannelType","csci_Incr","RelChangeInDeltaINC","Threshold","Lower2","Upper2","NoFlowProblem","HealthyCSCI","RelChangeInDelta","Categories","MaxScore"
"1","SMC15678",2021,0.32904119,22.6159293206793,"DS_Mag_50","HB",0.42904119,20.21,"NAT",-11.2137267672896,1.96772076875167,"No","No",91.29940343883,"Type E",0.32904119
"2","404M07364",2018,0.80928445,4.19168448218447,"DS_Mag_50","NAT",0.90928445,99.96,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",53.0565628898145,"Type X",0.80928445
"3","SMC04972",2020,1.11217878,-0.421350649350649,"DS_Mag_50","SB1",1.21217878,835.41,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Type X",1.11217878
"4","SMC01260",2019,0.54567054,8.45199225774225,"DS_Mag_50","HB",0.64567054,22.6,"NAT",-11.2137267672896,1.96772076875167,"No","No",76.7188526829377,"Type E",0.54567054
"5","903M20124",2015,0.96650029,1.60885298035298,"DS_Mag_50","NAT",1.06650029,100.07,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Type X",0.96650029
"6","SMC01544",2021,0.76452111,-0.790368714618715,"DS_Mag_50","NAT",0.86452111,398.55,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.76452111
"7","901M14137",2017,0.43763239,1.32729170829171,"DS_Mag_50","NAT",0.53763239,1150.46,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.43763239
"8","904M21729",2016,0.79670314,0.280928821178821,"DS_Mag_50","NAT",0.89670314,99.67,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Type X",0.79670314
"9","SMC16266",2011,0.82153319,0.226501165501166,"DS_Mag_50","NAT",0.92153319,101.54,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Type X",0.82153319
"10","SMC02536",2011,0.60351498,1.70030652680653,"DS_Mag_50","HB",0.70351498,328.18,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.60351498
