"","masterid","sampleyear","MetricValue","deltah_final","hydro.endpoints","ChannelType","csci_Incr","RelChangeInDeltaINC","Threshold","Lower2","Upper2","NoFlowProblem","HealthyCSCI","RelChangeInDelta","Match"
"1","SMC15678",2021,0.32904119,22.6159293206793,"DS_Mag_50","HB",0.42904119,20.21,"NAT",-11.2137267672896,1.96772076875167,"No","No",91.29940343883,"Yes"
"2","SMC00318",2019,0.43078498,94.5920726773226,"DS_Mag_50","HB",0.53078498,81.97,"NAT",-11.2137267672896,1.96772076875167,"No","No",97.9197825853081,"Yes"
"3","907SDBOC2",2001,0.95204206,2.49191791541792,"DS_Mag_50","NAT",1.05204206,99.92,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",21.0358914080979,"Yes"
"4","404M07364",2018,0.80928445,4.19168448218447,"DS_Mag_50","NAT",0.90928445,99.96,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",53.0565628898145,"Yes"
"5","405PS0036",2016,0.92413249,-0.421350649350649,"DS_Mag_50","SB1",1.02413249,835.41,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"6","SMC01384",2019,0.91387807,5.94519821844822,"DS_Mag_50","NAT",1.01387807,100.08,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",66.9023521764885,"Yes"
"7","SMC04972",2020,1.11217878,-0.421350649350649,"DS_Mag_50","SB1",1.21217878,835.41,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"8","909WE1014",2022,0.87030093,1.15457034632035,"DS_Mag_50","NAT",0.97030093,99.6,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"9","412M08638",2017,0.98688507,1.04437437562438,"DS_Mag_50","NAT",1.08688507,99.58,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"10","SMC01260",2019,0.54567054,8.45199225774225,"DS_Mag_50","HB",0.64567054,22.6,"NAT",-11.2137267672896,1.96772076875167,"No","No",76.7188526829377,"Yes"
"11","903M20124",2015,0.96650029,1.60885298035298,"DS_Mag_50","NAT",1.06650029,100.07,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"12","ME-VR2",2012,0.7945652,3.13886163836162,"DS_Mag_50","SB1",0.8945652,100.04,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",37.311006490278,"Yes"
"13","801WE1008",2019,0.41712903,-1.60154853479853,"DS_Mag_50","NAT",0.51712903,1480.44,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"14","801SDC504",2008,0.24997767,14.8992266067266,"DS_Mag_50","SB1",0.34997767,123.5,"NAT",-11.2137267672896,1.96772076875167,"No","No",86.7931348338356,"Yes"
"15","801S19486",2013,0.28874031,15.2521451881452,"DS_Mag_50","SB2",0.38874031,118.34,"NAT",-11.2137267672896,1.96772076875167,"No","No",87.0987277889205,"Yes"
"16","SMC01544",2021,0.76452111,-0.790368714618715,"DS_Mag_50","NAT",0.86452111,398.55,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"17","901M14137",2017,0.43763239,1.32729170829171,"DS_Mag_50","NAT",0.53763239,1150.46,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"18","904M21729",2016,0.79670314,0.280928821178821,"DS_Mag_50","NAT",0.89670314,99.67,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"19","SMC00710",2009,0.661021,15.2876224608724,"DS_Mag_50","NAT",0.761021,73.98,"NAT",-11.2137267672896,1.96772076875167,"No","No",87.1286671698761,"Yes"
"20","SMC01544",2010,0.7444003,-0.790368714618715,"DS_Mag_50","NAT",0.8444003,398.55,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"21","SMC18169",2011,0.45154656,6.76536197136196,"DS_Mag_50","SB2",0.55154656,132.14,"NAT",-11.2137267672896,1.96772076875167,"No","No",70.9147747440402,"Yes"
"22","SMC16266",2011,0.82153319,0.226501165501166,"DS_Mag_50","NAT",0.92153319,101.54,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Yes"
"23","SMC02536",2011,0.60351498,1.70030652680653,"DS_Mag_50","HB",0.70351498,328.18,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"24","SMC08335",2010,0.79271796,3.13886163836162,"DS_Mag_50","NAT",0.89271796,100.04,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",37.311006490278,"Yes"
"25","SMC20497",2013,0.67961298,8.85889618714618,"DS_Mag_50","NAT",0.77961298,69.08,"NAT",-11.2137267672896,1.96772076875167,"No","No",77.7881947459015,"Yes"
"26","SMC21822",2010,0.74802815,-4.59244763569764,"DS_Mag_50","SB1",0.84802815,0,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Yes"
"27","SMC20032",2019,0.37813902,22.6159293206793,"DS_Mag_50","HB",0.47813902,6.5,"NAT",-11.2137267672896,1.96772076875167,"No","No",91.29940343883,"Yes"
"28","SMC19697",2013,0.77587468,3.13886163836162,"DS_Mag_50","NAT",0.87587468,100.04,"NAT",-11.2137267672896,1.96772076875167,"No","No",37.311006490278,"Yes"
"29","412M08630",2017,0.31807442,52.4084040126539,"DS_Mag_50","HB",0.41807442,43.45,"NAT",-11.2137267672896,1.96772076875167,"No","No",96.2454098616005,"Yes"
