"","hydro.endpoints","masterid","sampleyear","ChannelType","PredCSCI","csci_Incr","MetricValue","RelChangeInDeltaINC","BioStatus","FlowStatus2","BOFlows","Action","Standard","Modified","RefImprovement","INCImprovement","BOImprovement","MaxScore"
"1","DS_Mag_50","SMC15678",2021,"HB",0.413188652740561,0.513188652740561,0.32904119,87.28,"Below Best Observed","Outside Reference","Within BO","Identify improvement needed",54.1871915276547,29.1952117115998,"Over 50%","Over 50%",NA,0.32904119
"2","DS_Mag_50","404M07364",2018,"NAT",0.826022377955619,0.926022377955619,0.80928445,71.33,"Above Reference","Within Reference",NA,"No Action/Protect",147.179682248513,NA,"No Action","No Action","No Action",0.80928445
"3","DS_Mag_50","SMC04972",2020,"SB1",0.913966588992397,1.0139665889924,1.11217878,1447.73,"Above Reference","Within Reference",NA,"No Action/Protect",2442.74315573592,NA,"No Action","No Action","No Action",1.11217878
"4","DS_Mag_50","SMC01260",2019,"HB",0.494634930991663,0.594634930991663,0.54567054,65.9,"Below Best Observed","Within Reference","Within BO","Non-flow related",22.5863922725776,245.701899331868,"Non-flow related","Non-flow related","Non-flow related",0.54567054
"5","DS_Mag_50","903M20124",2015,"NAT",0.832730202244499,0.932730202244499,0.96650029,25.48,"Above Reference","Within Reference",NA,"No Action/Protect",543.998706559913,NA,"No Action","No Action","No Action",0.96650029
"6","DS_Mag_50","SMC01544",2021,"NAT",0.833329828502434,0.933329828502434,0.76452111,0,"Below Best Observed","Within Reference",NA,"Non-flow related",1255.55274390903,NA,"Non-flow related","Non-flow related","Non-flow related",0.76452111
"7","DS_Mag_50","901M14137",2017,"NAT",0.833083861620867,0.933083861620867,0.43763239,9.79,"Below Best Observed","Within Reference",NA,"Non-flow related",680.611550512804,NA,"Non-flow related","Non-flow related","Non-flow related",0.43763239
"8","DS_Mag_50","904M21729",2016,"NAT",0.833730581563327,0.933730581563327,0.79670314,0,"Above Reference","Within Reference",NA,"No Action/Protect",3588.12012254473,NA,"No Action","No Action","No Action",0.79670314
"9","DS_Mag_50","SMC16266",2011,"NAT",0.833735718185346,0.933735718185346,0.82153319,0,"Above Reference","Within Reference",NA,"No Action/Protect",4474.36603515864,NA,"No Action","No Action","No Action",0.82153319
"10","DS_Mag_50","SMC02536",2011,"HB",0.513041637598231,0.613041637598231,0.60351498,0,"Below Best Observed","Within Reference","Within BO","Non-flow related",509.360266550499,1618.43707624149,"Non-flow related","Non-flow related","Non-flow related",0.60351498
"11","DS_Mag_50","SMC08335",2010,"NAT",0.829490814041799,0.929490814041799,0.79271796,61.81,"Above Reference","Within Reference",NA,"No Action/Protect",230.087578799169,NA,"No Action","No Action","No Action",0.79271796
"12","DS_Mag_50","SMC20497",2013,"NAT",0.800685107197212,0.900685107197212,0.67961298,86.47,"Below Best Observed","Within Reference",NA,"Non-flow related",16.9557940972046,NA,"Non-flow related","Non-flow related","Non-flow related",0.67961298
"13","DS_Mag_50","SMC21822",2010,"SB1",0.985230455985618,1.08523045598562,0.74802815,161.79,"Below Best Observed","Within Reference",NA,"Non-flow related",133.293129239675,NA,"Non-flow related","Non-flow related","Non-flow related",0.74802815
"14","DS_Mag_50","SMC20032",2019,"HB",0.413188652740561,0.513188652740561,0.37813902,87.28,"Below Best Observed","Outside Reference","Within BO","Identify improvement needed",54.1871915276547,29.1952117115998,"Over 50%","Over 50%",NA,0.37813902
"15","DS_Mag_50","SMC19697",2013,"NAT",0.829490814041799,0.929490814041799,0.77587468,61.81,"Below Best Observed","Within Reference",NA,"Non-flow related",230.087578799169,NA,"Non-flow related","Non-flow related","Non-flow related",0.77587468
"16","DS_Mag_50","412M08630",2017,"HB",0.4355507163281,0.5355507163281,0.31807442,94.51,"Below Best Observed","Outside Reference","Outside BO","Identify improvement needed",80.2302844760887,44.2480680019513,"Over 50%","Over 50%","10 - 50%",0.31807442
"17","DS_Mag_50","902M18893",2017,"NAT",0.821689716708506,0.921689716708506,0.80896179,77.05,"Above Reference","Within Reference",NA,"No Action/Protect",98.0955299676174,NA,"No Action","No Action","No Action",0.80896179
"18","DS_Mag_50","SMC00190",2008,"HB",0.512385540638138,0.612385540638138,0.41560858,4.32,"Below Best Observed","Within Reference","Within BO","Non-flow related",244.702022510594,872.082966765843,"Non-flow related","Non-flow related","Non-flow related",0.41560858
"19","DS_Mag_50","SMC01158",2009,"NAT",0.830943292665349,0.930943292665349,0.49183638,53.23,"Below Best Observed","Within Reference",NA,"Non-flow related",302.584500144003,NA,"Non-flow related","Non-flow related","Non-flow related",0.49183638
"20","DS_Mag_50","SMC08094",2012,"SB2",0.511950574862006,0.611950574862006,0.49320633,93.83,"Below Best Observed","Outside Reference","Within BO","Identify improvement needed",31.2466411134509,2.67841300223263,"10 - 50%","Over 50%",NA,0.49320633
"21","DS_Mag_50","SMC09118",2013,"SB2",0.511950574862006,0.611950574862006,0.38672401,93.83,"Below Best Observed","Outside Reference","Within BO","Identify improvement needed",31.2466411134509,2.67841300223263,"10 - 50%","Over 50%",NA,0.38672401
"22","DS_Mag_50","SMC02152",2010,"NAT",0.796932274735142,0.896932274735142,0.53676253,90.21,"Below Best Observed","Within Reference",NA,"Non-flow related",10.4552479493534,NA,"Non-flow related","Non-flow related","Non-flow related",0.53676253
"23","DS_Mag_50","SMC05332",2012,"SB1",0.807038135061738,0.907038135061738,0.66888292,100.05,"Below Best Observed","Within Reference",NA,"Non-flow related",123.892514882516,NA,"Non-flow related","Non-flow related","Non-flow related",0.66888292
"24","DS_Mag_50","SMC13391",2012,"NAT",0.829491089551631,0.929491089551631,0.88988338,61.81,"Above Reference","Within Reference",NA,"No Action/Protect",230.097822125882,NA,"No Action","No Action","No Action",0.88988338
"25","DS_Mag_50","SMC03110",2011,"NAT",0.83361289181693,0.93361289181693,0.60435928,0,"Below Best Observed","Within Reference",NA,"Non-flow related",1448.9825520214,NA,"Non-flow related","Non-flow related","Non-flow related",0.60435928
"26","DS_Mag_50","SMC04682",2011,"NAT",0.829833828296781,0.929833828296781,1.07793013,60.36,"Above Reference","Within Reference",NA,"No Action/Protect",243.632611006661,NA,"No Action","No Action","No Action",1.07793013
"27","DS_Mag_50","SMC08150",2014,"NAT",0.833732725202078,0.933732725202078,0.73153765,0,"Below Best Observed","Within Reference",NA,"Non-flow related",23379.9615351092,NA,"Non-flow related","Non-flow related","Non-flow related",0.73153765
"28","DS_Mag_50","801M16973",2018,"NAT",0.832419706377572,0.932419706377572,0.73132663,34.12,"Below Best Observed","Within Reference",NA,"Non-flow related",470.221047353018,NA,"Non-flow related","Non-flow related","Non-flow related",0.73132663
"29","DS_Mag_50","SMC04532",2012,"HB",0.452803646581427,0.552803646581427,0.64466926,81.29,"Below Best Observed","Outside Reference","Within BO","Identify improvement needed",32.7797006907708,89.5657806225819,"10 - 50%","Over 50%",NA,0.64466926
"30","DS_Mag_50","905M21721",2015,"NAT",0.832398840860087,0.932398840860087,0.67998428,34.42,"Below Best Observed","Within Reference",NA,"Non-flow related",466.151962832509,NA,"Non-flow related","Non-flow related","Non-flow related",0.67998428
"31","DS_Mag_50","906M21770",2018,"HB",0.446334333046583,0.546334333046583,0.61784957,82.5,"Below Best Observed","Outside Reference","Within BO","Identify improvement needed",37.0099626436474,77.6361564231109,"10 - 50%","Over 50%",NA,0.61784957
"32","DS_Mag_50","SMC01772",2012,"HB",0.430634651406639,0.530634651406639,0.5946632,94.28,"Below Best Observed","Outside Reference","Outside BO","Identify improvement needed",79.4091468428384,41.9324044591635,"Over 50%","Over 50%","10 - 50%",0.5946632
"33","DS_Mag_50","SMC01824",2012,"HB",0.512606450662009,0.612606450662009,0.60387461,0,"Below Best Observed","Within Reference","Within BO","Non-flow related",271.718173905123,948.270336967252,"Non-flow related","Non-flow related","Non-flow related",0.60387461
"34","DS_Mag_50","SMC03646",2013,"HB",0.392769353279309,0.492769353279309,0.53242816,71.4,"Below Best Observed","Outside Reference","Outside BO","Identify improvement needed",66.4049337284659,5.259645846945,"Over 50%","Over 50%","Less than 10%",0.53242816
"35","DS_Mag_50","SMC06863",2011,"NAT",0.833517474479617,0.933517474479617,0.9775222,0,"Above Reference","Within Reference",NA,"No Action/Protect",1138.0450882036,NA,"No Action","No Action","No Action",0.9775222
"36","DS_Mag_50","SMC16045",2012,"HB",0.512832363187208,0.612832363187208,0.50959439,0,"Below Best Observed","Within Reference","Within BO","Non-flow related",315.111185735556,1070.64155884117,"Non-flow related","Non-flow related","Non-flow related",0.50959439
"37","DS_Mag_50","402M00002",2015,"NAT",0.800685107197212,0.900685107197212,0.70665225,86.47,"Below Best Observed","Within Reference",NA,"Non-flow related",16.9557940972046,NA,"Non-flow related","Non-flow related","Non-flow related",0.70665225
"38","DS_Mag_50","SMC01320",2022,"NAT",0.833329828502434,0.933329828502434,1.01914883,0,"Above Reference","Within Reference",NA,"No Action/Protect",1255.55274390903,NA,"No Action","No Action","No Action",1.01914883
"39","DS_Mag_50","SMC02656",2018,"HB",0.510657979326965,0.610657979326965,0.46463614,29.59,"Below Best Observed","Within Reference","Within BO","Non-flow related",153.384267394589,614.56073447655,"Non-flow related","Non-flow related","Non-flow related",0.46463614
"40","DS_Mag_50","801M16957",2019,"NAT",0.833212566896777,0.933212566896777,0.48212764,0.83,"Below Best Observed","Within Reference",NA,"Non-flow related",759.049329017013,NA,"Non-flow related","Non-flow related","Non-flow related",0.48212764
"41","DS_Mag_50","412M08602",2015,"HB",0.392769353279309,0.492769353279309,0.41044659,71.4,"Below Best Observed","Outside Reference","Outside BO","Identify improvement needed",66.4049337284659,5.259645846945,"Over 50%","Over 50%","Less than 10%",0.41044659
"42","DS_Mag_50","412M08616",2016,"HB",0.511989707705974,0.611989707705974,0.48068983,13.25,"Below Best Observed","Within Reference","Within BO","Non-flow related",211.958447152208,779.743874453374,"Non-flow related","Non-flow related","Non-flow related",0.48068983
"43","DS_Mag_50","SMC17056",2009,"NAT",0.787495038258708,0.887495038258708,0.72649786,88.8,"Below Best Observed","Outside Reference",NA,"Identify improvement needed",3.14790602288579,NA,"Less than 10%","Over 50%",NA,0.72649786
"44","DS_Mag_50","SMC04294",2013,"NAT",0.833001405584739,0.933001405584739,0.78366223,14.3,"Below Best Observed","Within Reference",NA,"Non-flow related",640.762585417441,NA,"Non-flow related","Non-flow related","Non-flow related",0.78366223
"45","DS_Mag_50","412M08642",2018,"HB",0.412595288098371,0.512595288098371,0.69076579,87.32,"Above Best Observed","Outside Reference","Within BO","Identify improvement needed",54.4660927309925,28.4086914956736,"Over 50%","Over 50%",NA,0.69076579
"46","DS_Mag_50","404M04672",2020,"NAT",0.768421082849798,0.868421082849798,0.7231196,90.9,"Below Best Observed","Outside Reference",NA,"Identify improvement needed",21.2524677187576,NA,"10 - 50%","Over 50%",NA,0.7231196
"47","DS_Mag_50","SMC05968",2020,"NAT",0.811900503977075,0.911900503977075,0.92788204,86.89,"Above Reference","Within Reference",NA,"No Action/Protect",48.2355873626792,NA,"No Action","No Action","No Action",0.92788204
"48","DS_Mag_50","906M21758",2017,"NAT",0.823104055610984,0.923104055610984,0.76665115,75.51,"Below Best Observed","Within Reference",NA,"Non-flow related",110.883382906985,NA,"Non-flow related","Non-flow related","Non-flow related",0.76665115
"49","DS_Mag_50","SMC05407",2011,"NAT",0.833182042237954,0.933182042237954,1.01209826,3.24,"Above Reference","Within Reference",NA,"No Action/Protect",738.211083333962,NA,"No Action","No Action","No Action",1.01209826
"50","DS_Mag_50","403M05774",2016,"NAT",0.788284254584867,0.888284254584866,0.76272586,88.65,"Below Best Observed","Outside Reference",NA,"Identify improvement needed",2.18229243100076,NA,"Less than 10%","Over 50%",NA,0.76272586
"51","DS_Mag_50","SMC01979",2011,"NAT",0.787344300247136,0.887344300247136,0.94480292,88.82,"Above Reference","Outside Reference",NA,"No Action/Monitor",3.32972699004551,NA,"No Action","No Action","No Action",0.94480292
"52","DS_Mag_50","SMC03929",2012,"NAT",0.831426261532188,0.931426261532188,0.73059828,48.84,"Below Best Observed","Within Reference",NA,"Non-flow related",340.023555780195,NA,"Non-flow related","Non-flow related","Non-flow related",0.73059828
"53","DS_Mag_50","SMC06740",2013,"HB",0.469183929333627,0.569183929333627,0.52573471,77.6,"Below Best Observed","Outside Reference","Within BO","Identify improvement needed",19.2793718925013,127.637618945297,"10 - 50%","Over 50%",NA,0.52573471
"54","DS_Mag_50","SMC22521",2013,"HB",0.512832363187208,0.612832363187208,0.49731068,0,"Below Best Observed","Within Reference","Within BO","Non-flow related",315.111185735556,1070.64155884117,"Non-flow related","Non-flow related","Non-flow related",0.49731068
"55","DS_Mag_50","SMC00236",2021,"HB",0.509955009202292,0.609955009202292,0.44057374,34.7,"Below Best Observed","Within Reference","Within BO","Non-flow related",135.017818661135,562.766109531406,"Non-flow related","Non-flow related","Non-flow related",0.44057374
"56","DS_Mag_50","412M08646",2019,"HB",0.512819972240144,0.612819972240144,0.63867762,0,"Below Best Observed","Within Reference","Within BO","Non-flow related",815.26303109394,2481.10351705161,"Non-flow related","Non-flow related","Non-flow related",0.63867762
"57","DS_Mag_50","SMC12862",2019,"HB",0.413188652740561,0.513188652740561,0.36552573,87.28,"Below Best Observed","Outside Reference","Within BO","Identify improvement needed",54.1871915276547,29.1952117115998,"Over 50%","Over 50%",NA,0.36552573
"58","DS_Mag_50","SMC04121",2012,"NAT",0.830538764768561,0.930538764768561,0.51538713,56.14,"Below Best Observed","Within Reference",NA,"Non-flow related",277.712987472493,NA,"Non-flow related","Non-flow related","Non-flow related",0.51538713
"59","DS_Mag_50","SMC04880",2012,"NAT",0.833244649899899,0.933244649899899,0.9317443,0,"Above Reference","Within Reference",NA,"No Action/Protect",782.820017138355,NA,"No Action","No Action","No Action",0.9317443
"60","DS_Mag_50","901M14134",2016,"NAT",0.833591801181427,0.933591801181427,0.66986137,0,"Below Best Observed","Within Reference",NA,"Non-flow related",1358.37831208636,NA,"Non-flow related","Non-flow related","Non-flow related",0.66986137
"61","DS_Mag_50","SMC00345",2011,"NAT",0.83304671334599,0.93304671334599,0.5701193,11.76,"Below Best Observed","Within Reference",NA,"Non-flow related",661.84462390662,NA,"Non-flow related","Non-flow related","Non-flow related",0.5701193
"62","DS_Mag_50","SMC02988",2014,"HB",0.512818464295797,0.612818464295797,0.64388338,0,"Below Best Observed","Within Reference","Within BO","Non-flow related",817.100149578147,2486.28431516071,"Non-flow related","Non-flow related","Non-flow related",0.64388338
"63","DS_Mag_50","SMC07085",2011,"HB",0.512832363187208,0.612832363187208,0.46263341,0,"Below Best Observed","Within Reference","Within BO","Non-flow related",315.111185735556,1070.64155884117,"Non-flow related","Non-flow related","Non-flow related",0.46263341
"64","DS_Mag_50","402M00042",2017,"NAT",0.83334820714024,0.93334820714024,0.66807478,0,"Below Best Observed","Within Reference",NA,"Non-flow related",876.709188851652,NA,"Non-flow related","Non-flow related","Non-flow related",0.66807478
"65","DS_Mag_50","402M00009",2015,"NAT",0.833072551116292,0.933072551116292,0.28871308,10.47,"Below Best Observed","Within Reference",NA,"Non-flow related",674.744487299823,NA,"Non-flow related","Non-flow related","Non-flow related",0.28871308
"66","DS_Mag_50","906M23361",2019,"NAT",0.771086755668726,0.871086755668726,0.68469947,90.63,"Below Best Observed","Outside Reference",NA,"Identify improvement needed",19.1852213111692,NA,"10 - 50%","Over 50%",NA,0.68469947
"67","DS_Mag_50","402M00127",2019,"NAT",0.829598800616711,0.929598800616711,0.65418093,61.28,"Below Best Observed","Within Reference",NA,"Non-flow related",234.17721630265,NA,"Non-flow related","Non-flow related","Non-flow related",0.65418093
"68","DS_Mag_50","404M07372",2019,"NAT",0.778270118749227,0.878270118749227,0.52934004,92.25,"Below Best Observed","Outside Reference",NA,"Identify improvement needed",13.0005964028365,NA,"10 - 50%","Over 50%",NA,0.52934004
"69","DS_Mag_50","802M17015",2020,"NAT",0.833641606994953,0.933641606994953,0.95669495,0,"Above Reference","Within Reference",NA,"No Action/Protect",3426.65314466029,NA,"No Action","No Action","No Action",0.95669495
"70","DS_Mag_50","404M07368",2018,"NAT",0.779159204061401,0.879159204061401,0.46191342,92.23,"Below Best Observed","Outside Reference",NA,"Identify improvement needed",12.1639979145355,NA,"10 - 50%","Over 50%",NA,0.46191342
