"","masterid","sampleyear","MetricValue","deltah_final","hydro.endpoints","ChannelType","csci_Incr","RelChangeInDeltaINC","Threshold","Lower","Upper","NoFlowProblem","HealthyCSCI","RelChangeInDelta","Categories","MaxScore"
"1","SMC15678",2021,0.32904119,22.6159293206793,"DS_Mag_50","HB",0.42904119,14.24,"NAT",-10.7138647980125,10.3609923839238,"No","No",54.1871915276547,"Type E",0.32904119
"2","SMC15678",2021,0.32904119,22.6159293206793,"DS_Mag_50","HB",0.42904119,14.24,"HB",-24.4146852806944,29.2186977663974,"No","No",29.1952117115998,"Type E",0.32904119
"3","404M07364",2018,0.80928445,4.19168448218447,"DS_Mag_50","NAT",0.90928445,71.33,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.80928445
"4","SMC04972",2020,1.11217878,-0.421350649350649,"DS_Mag_50","SB1",1.21217878,5639.01,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",1.11217878
"5","SMC04972",2020,1.11217878,-0.421350649350649,"DS_Mag_50","SB1",1.21217878,5639.01,"SB2",-15.8037617728112,15.4734295507655,"Yes","Yes",NA,"Type X",1.11217878
"6","SMC01260",2019,0.54567054,8.45199225774225,"DS_Mag_50","HB",0.64567054,65.9,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.54567054
"7","SMC01260",2019,0.54567054,8.45199225774225,"DS_Mag_50","HB",0.64567054,65.9,"HB",-24.4146852806944,29.2186977663974,"Yes","No",NA,"Type E",0.54567054
"8","903M20124",2015,0.96650029,1.60885298035298,"DS_Mag_50","NAT",1.06650029,25.48,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.96650029
"9","SMC01544",2021,0.76452111,-0.790368714618715,"DS_Mag_50","NAT",0.86452111,0,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.76452111
"10","901M14137",2017,0.43763239,1.32729170829171,"DS_Mag_50","NAT",0.53763239,7026.34,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.43763239
"11","904M21729",2016,0.79670314,0.280928821178821,"DS_Mag_50","NAT",0.89670314,0,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.79670314
"12","SMC16266",2011,0.82153319,0.226501165501166,"DS_Mag_50","NAT",0.92153319,0,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.82153319
"13","SMC02536",2011,0.60351498,1.70030652680653,"DS_Mag_50","HB",0.70351498,0,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.60351498
"14","SMC02536",2011,0.60351498,1.70030652680653,"DS_Mag_50","HB",0.70351498,0,"HB",-24.4146852806944,29.2186977663974,"Yes","No",NA,"Type D",0.60351498
"15","SMC08335",2010,0.79271796,3.13886163836162,"DS_Mag_50","NAT",0.89271796,61.81,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.79271796
"16","SMC20497",2013,0.67961298,8.85889618714618,"DS_Mag_50","NAT",0.77961298,32.4,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.67961298
"17","SMC21822",2010,0.74802815,-4.59244763569764,"DS_Mag_50","SB1",0.84802815,99.95,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.74802815
"18","SMC21822",2010,0.74802815,-4.59244763569764,"DS_Mag_50","SB1",0.84802815,99.95,"SB2",-15.8037617728112,15.4734295507655,"Yes","No",NA,"Type E",0.74802815
"19","SMC20032",2019,0.37813902,22.6159293206793,"DS_Mag_50","HB",0.47813902,49.61,"NAT",-10.7138647980125,10.3609923839238,"No","No",54.1871915276547,"Type E",0.37813902
"20","SMC20032",2019,0.37813902,22.6159293206793,"DS_Mag_50","HB",0.47813902,49.61,"HB",-24.4146852806944,29.2186977663974,"No","No",29.1952117115998,"Type E",0.37813902
"21","SMC19697",2013,0.77587468,3.13886163836162,"DS_Mag_50","NAT",0.87587468,61.81,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.77587468
"22","412M08630",2017,0.31807442,52.4084040126539,"DS_Mag_50","HB",0.41807442,12.77,"NAT",-10.7138647980125,10.3609923839238,"No","No",80.2302844760887,"Type E",0.31807442
"23","412M08630",2017,0.31807442,52.4084040126539,"DS_Mag_50","HB",0.41807442,12.77,"HB",-24.4146852806944,29.2186977663974,"No","No",44.2480680019513,"Type E",0.31807442
"24","902M18893",2017,0.80896179,5.23030094905095,"DS_Mag_50","NAT",0.90896179,77.05,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.80896179
"25","SMC00190",2008,0.41560858,3.0057823010323,"DS_Mag_50","HB",0.51560858,3.99,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.41560858
"26","SMC00190",2008,0.41560858,3.0057823010323,"DS_Mag_50","HB",0.51560858,3.99,"HB",-24.4146852806944,29.2186977663974,"Yes","No",NA,"Type D",0.41560858
"27","SMC01158",2009,0.49183638,2.5736192973693,"DS_Mag_50","NAT",0.59183638,3359.08,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.49183638
"28","SMC08094",2012,0.49320633,15.0697981185481,"DS_Mag_50","SB2",0.59320633,64.23,"NAT",-10.7138647980125,10.3609923839238,"No","No",31.2466411134509,"Type E",0.49320633
"29","SMC08094",2012,0.49320633,15.0697981185481,"DS_Mag_50","SB2",0.59320633,64.23,"SB2",-15.8037617728112,15.4734295507655,"No","No",2.67841300223263,"Type C",0.49320633
"30","SMC09118",2013,0.38672401,15.0697981185481,"DS_Mag_50","SB2",0.48672401,18.31,"NAT",-10.7138647980125,10.3609923839238,"No","No",31.2466411134509,"Type E",0.38672401
"31","SMC09118",2013,0.38672401,15.0697981185481,"DS_Mag_50","SB2",0.48672401,18.31,"SB2",-15.8037617728112,15.4734295507655,"No","No",2.67841300223263,"Type C",0.38672401
"32","SMC02152",2010,0.53676253,-9.69973359973361,"DS_Mag_50","NAT",0.63676253,186.5,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.53676253
"33","SMC05332",2012,0.66888292,4.62766358641358,"DS_Mag_50","SB1",0.76888292,34.36,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.66888292
"34","SMC05332",2012,0.66888292,4.62766358641358,"DS_Mag_50","SB1",0.76888292,34.36,"SB2",-15.8037617728112,15.4734295507655,"Yes","No",NA,"Type E",0.66888292
"35","SMC13391",2012,0.88988338,3.13876423576423,"DS_Mag_50","NAT",0.98988338,61.81,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.88988338
"36","SMC03110",2011,0.60435928,0.668890193140191,"DS_Mag_50","NAT",0.70435928,3157.47,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.60435928
"37","SMC04682",2011,1.07793013,3.01513653013653,"DS_Mag_50","NAT",1.17793013,60.03,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",1.07793013
"38","SMC08150",2014,0.73153765,0.0441269563769564,"DS_Mag_50","NAT",0.83153765,5121.59,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.73153765
"39","801M16973",2018,0.73132663,1.81701332001332,"DS_Mag_50","NAT",0.83132663,31.92,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.73132663
"40","SMC04532",2012,0.64466926,15.4134874292374,"DS_Mag_50","HB",0.74466926,81.29,"NAT",-10.7138647980125,10.3609923839238,"No","No",32.7797006907708,"Type E",0.64466926
"41","SMC04532",2012,0.64466926,15.4134874292374,"DS_Mag_50","HB",0.74466926,81.29,"HB",-24.4146852806944,29.2186977663974,"No","No",89.5657806225819,"Type E",0.64466926
"42","905M21721",2015,0.67998428,1.83007267732268,"DS_Mag_50","NAT",0.77998428,538.23,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.67998428
"43","906M21770",2018,0.61784957,16.4486207958708,"DS_Mag_50","HB",0.71784957,82.44,"NAT",-10.7138647980125,10.3609923839238,"No","No",37.0099626436474,"Type E",0.61784957
"44","906M21770",2018,0.61784957,16.4486207958708,"DS_Mag_50","HB",0.71784957,82.44,"HB",-24.4146852806944,29.2186977663974,"No","No",77.6361564231109,"Type E",0.61784957
