"","hydro.endpoints","ChannelType","Categories","WithinNaturalRange","n","TotalPerCategory","PercPerCategory"
"1","DS_Mag_50","HB","Type A","no",35,38,92.1052631578947
"2","DS_Mag_50","HB","Type A","yes",3,38,7.89473684210526
"3","DS_Mag_50","HB","Type C","no",8,8,100
"4","DS_Mag_50","HB","Type D","no",1,3,33.3333333333333
"5","DS_Mag_50","HB","Type D","yes",2,3,66.6666666666667
"6","DS_Mag_50","HB","Type E","no",25,39,64.1025641025641
"7","DS_Mag_50","HB","Type E","yes",14,39,35.8974358974359
"8","DS_Mag_50","NAT & SB1","Type A","no",79,146,54.1095890410959
"9","DS_Mag_50","NAT & SB1","Type A","yes",67,146,45.8904109589041
"10","DS_Mag_50","NAT & SB1","Type B","no",6,6,100
"11","DS_Mag_50","NAT & SB1","Type C","no",1,1,100
"12","DS_Mag_50","NAT & SB1","Type D","no",2,3,66.6666666666667
"13","DS_Mag_50","NAT & SB1","Type D","yes",1,3,33.3333333333333
"14","DS_Mag_50","NAT & SB1","Type E","no",18,28,64.2857142857143
"15","DS_Mag_50","NAT & SB1","Type E","yes",10,28,35.7142857142857
"16","DS_Mag_50","NAT & SB1","Type X","no",89,170,52.3529411764706
"17","DS_Mag_50","NAT & SB1","Type X","yes",81,170,47.6470588235294
"18","DS_Mag_50","SB0 & SB2","Type A","no",18,28,64.2857142857143
"19","DS_Mag_50","SB0 & SB2","Type A","yes",10,28,35.7142857142857
"20","DS_Mag_50","SB0 & SB2","Type B","no",1,1,100
"21","DS_Mag_50","SB0 & SB2","Type C","no",10,16,62.5
"22","DS_Mag_50","SB0 & SB2","Type C","yes",6,16,37.5
"23","DS_Mag_50","SB0 & SB2","Type E","no",13,23,56.5217391304348
"24","DS_Mag_50","SB0 & SB2","Type E","yes",10,23,43.4782608695652
"25","DS_Mag_50","SB0 & SB2","Type X","no",3,3,100
"26","FA_Mag","HB","Type A","no",24,31,77.4193548387097
"27","FA_Mag","HB","Type A","yes",7,31,22.5806451612903
"28","FA_Mag","HB","Type B","no",4,5,80
"29","FA_Mag","HB","Type B","yes",1,5,20
"30","FA_Mag","HB","Type C","no",9,13,69.2307692307692
"31","FA_Mag","HB","Type C","yes",4,13,30.7692307692308
"32","FA_Mag","HB","Type D","no",19,42,45.2380952380952
"33","FA_Mag","HB","Type D","yes",23,42,54.7619047619048
"34","FA_Mag","HB","Type E","no",1,2,50
"35","FA_Mag","HB","Type E","yes",1,2,50
"36","FA_Mag","NAT & SB1","Type A","no",53,149,35.5704697986577
"37","FA_Mag","NAT & SB1","Type A","yes",96,149,64.4295302013423
"38","FA_Mag","NAT & SB1","Type B","no",2,2,100
"39","FA_Mag","NAT & SB1","Type C","no",1,2,50
"40","FA_Mag","NAT & SB1","Type C","yes",1,2,50
"41","FA_Mag","NAT & SB1","Type D","no",5,6,83.3333333333333
"42","FA_Mag","NAT & SB1","Type D","yes",1,6,16.6666666666667
"43","FA_Mag","NAT & SB1","Type E","no",10,15,66.6666666666667
"44","FA_Mag","NAT & SB1","Type E","yes",5,15,33.3333333333333
"45","FA_Mag","NAT & SB1","Type X","no",66,169,39.0532544378698
"46","FA_Mag","NAT & SB1","Type X","yes",103,169,60.9467455621302
"47","FA_Mag","SB0 & SB2","Type A","no",7,27,25.9259259259259
"48","FA_Mag","SB0 & SB2","Type A","yes",20,27,74.0740740740741
"49","FA_Mag","SB0 & SB2","Type B","no",1,2,50
"50","FA_Mag","SB0 & SB2","Type B","yes",1,2,50
"51","FA_Mag","SB0 & SB2","Type C","no",7,15,46.6666666666667
"52","FA_Mag","SB0 & SB2","Type C","yes",8,15,53.3333333333333
"53","FA_Mag","SB0 & SB2","Type D","no",7,9,77.7777777777778
"54","FA_Mag","SB0 & SB2","Type D","yes",2,9,22.2222222222222
"55","FA_Mag","SB0 & SB2","Type E","no",4,13,30.7692307692308
"56","FA_Mag","SB0 & SB2","Type E","yes",9,13,69.2307692307692
"57","FA_Mag","SB0 & SB2","Type X","no",1,3,33.3333333333333
"58","FA_Mag","SB0 & SB2","Type X","yes",2,3,66.6666666666667
"59","Peak_10","HB","Type A","no",26,48,54.1666666666667
"60","Peak_10","HB","Type A","yes",22,48,45.8333333333333
"61","Peak_10","HB","Type C","no",1,1,100
"62","Peak_10","HB","Type D","no",6,29,20.6896551724138
"63","Peak_10","HB","Type D","yes",23,29,79.3103448275862
"64","Peak_10","NAT & SB1","Type A","no",48,141,34.0425531914894
"65","Peak_10","NAT & SB1","Type A","yes",93,141,65.9574468085106
"66","Peak_10","NAT & SB1","Type B","no",3,5,60
"67","Peak_10","NAT & SB1","Type B","yes",2,5,40
"68","Peak_10","NAT & SB1","Type D","no",14,32,43.75
"69","Peak_10","NAT & SB1","Type D","yes",18,32,56.25
"70","Peak_10","NAT & SB1","Type X","no",56,177,31.638418079096
"71","Peak_10","NAT & SB1","Type X","yes",121,177,68.361581920904
"72","Peak_10","SB0 & SB2","Type A","no",13,31,41.9354838709677
"73","Peak_10","SB0 & SB2","Type A","yes",18,31,58.0645161290323
"74","Peak_10","SB0 & SB2","Type B","no",1,2,50
"75","Peak_10","SB0 & SB2","Type B","yes",1,2,50
"76","Peak_10","SB0 & SB2","Type C","no",2,3,66.6666666666667
"77","Peak_10","SB0 & SB2","Type C","yes",1,3,33.3333333333333
"78","Peak_10","SB0 & SB2","Type D","no",10,20,50
