"","ChannelType","hydro.endpoints","Target","Categories","Tally","TotalSites","PercentSites","Flow.Metric.Name","Flow.Component"
"1","HB","DS_Mag_50","RefImprovement","Over 50%",31,74,41.8918918918919,"Dry-season median baseflow","Dry-season baseflow"
"2","HB","DS_Mag_50","INCImprovement","Over 50%",34,74,45.945945945946,"Dry-season median baseflow","Dry-season baseflow"
"3","NAT & SB1","DS_Mag_50","RefImprovement","No Action",145,279,51.9713261648746,"Dry-season median baseflow","Dry-season baseflow"
"4","NAT & SB1","DS_Mag_50","INCImprovement","No Action",145,279,51.9713261648746,"Dry-season median baseflow","Dry-season baseflow"
"5","NAT & SB1","DS_Mag_50","BOImprovement","No Action",145,257,56.420233463035,"Dry-season median baseflow","Dry-season baseflow"
"6","HB","DS_Mag_50","RefImprovement","Non-flow related",37,74,50,"Dry-season median baseflow","Dry-season baseflow"
"7","HB","DS_Mag_50","INCImprovement","Non-flow related",37,74,50,"Dry-season median baseflow","Dry-season baseflow"
"8","HB","DS_Mag_50","BOImprovement","Non-flow related",37,53,69.811320754717,"Dry-season median baseflow","Dry-season baseflow"
"9","NAT & SB1","DS_Mag_50","RefImprovement","Non-flow related",112,279,40.1433691756272,"Dry-season median baseflow","Dry-season baseflow"
"10","NAT & SB1","DS_Mag_50","INCImprovement","Non-flow related",112,279,40.1433691756272,"Dry-season median baseflow","Dry-season baseflow"
"11","NAT & SB1","DS_Mag_50","BOImprovement","Non-flow related",112,257,43.579766536965,"Dry-season median baseflow","Dry-season baseflow"
"12","HB","DS_Mag_50","BOImprovement","10 - 50%",9,53,16.9811320754717,"Dry-season median baseflow","Dry-season baseflow"
"13","SB0 & SB2","DS_Mag_50","RefImprovement","10 - 50%",11,43,25.5813953488372,"Dry-season median baseflow","Dry-season baseflow"
"14","SB0 & SB2","DS_Mag_50","INCImprovement","Over 50%",14,43,32.5581395348837,"Dry-season median baseflow","Dry-season baseflow"
"15","HB","DS_Mag_50","RefImprovement","10 - 50%",6,74,8.10810810810811,"Dry-season median baseflow","Dry-season baseflow"
"16","HB","DS_Mag_50","BOImprovement","Less than 10%",4,53,7.54716981132075,"Dry-season median baseflow","Dry-season baseflow"
"17","NAT & SB1","DS_Mag_50","RefImprovement","Less than 10%",6,279,2.1505376344086,"Dry-season median baseflow","Dry-season baseflow"
"18","NAT & SB1","DS_Mag_50","INCImprovement","Over 50%",20,279,7.16845878136201,"Dry-season median baseflow","Dry-season baseflow"
"19","HB","DS_Mag_50","BOImprovement","Over 50%",3,53,5.66037735849057,"Dry-season median baseflow","Dry-season baseflow"
"20","NAT & SB1","DS_Mag_50","RefImprovement","10 - 50%",11,279,3.9426523297491,"Dry-season median baseflow","Dry-season baseflow"
"21","SB0 & SB2","DS_Mag_50","RefImprovement","Non-flow related",26,43,60.4651162790698,"Dry-season median baseflow","Dry-season baseflow"
"22","SB0 & SB2","DS_Mag_50","INCImprovement","Non-flow related",26,43,60.4651162790698,"Dry-season median baseflow","Dry-season baseflow"
"23","SB0 & SB2","DS_Mag_50","BOImprovement","Non-flow related",26,36,72.2222222222222,"Dry-season median baseflow","Dry-season baseflow"
