"","ChannelType","hydro.endpoints","Target","Categories","Tally","TotalSites","PercentSites","Flow.Metric.Name","Flow.Component"
"1","HB","DS_Mag_50","Reference Condition","Over 50%",31,67,46.2686567164179,"Dry-season median baseflow","Dry-season baseflow"
"2","HB","DS_Mag_50","Incremental Improvement","Over 50%",34,67,50.7462686567164,"Dry-season median baseflow","Dry-season baseflow"
"3","NAT & SB1","DS_Mag_50","Reference Condition","No Action",145,435,33.3333333333333,"Dry-season median baseflow","Dry-season baseflow"
"4","NAT & SB1","DS_Mag_50","Incremental Improvement","No Action",145,435,33.3333333333333,"Dry-season median baseflow","Dry-season baseflow"
"5","NAT & SB1","DS_Mag_50","Best Observed Condition","No Action",145,435,33.3333333333333,"Dry-season median baseflow","Dry-season baseflow"
"6","HB","DS_Mag_50","Reference Condition","Non-flow related",37,111,33.3333333333333,"Dry-season median baseflow","Dry-season baseflow"
"7","HB","DS_Mag_50","Incremental Improvement","Non-flow related",37,111,33.3333333333333,"Dry-season median baseflow","Dry-season baseflow"
"8","HB","DS_Mag_50","Best Observed Condition","Non-flow related",37,111,33.3333333333333,"Dry-season median baseflow","Dry-season baseflow"
"9","NAT & SB1","DS_Mag_50","Reference Condition","Non-flow related",112,336,33.3333333333333,"Dry-season median baseflow","Dry-season baseflow"
"10","NAT & SB1","DS_Mag_50","Incremental Improvement","Non-flow related",112,336,33.3333333333333,"Dry-season median baseflow","Dry-season baseflow"
"11","NAT & SB1","DS_Mag_50","Best Observed Condition","Non-flow related",112,336,33.3333333333333,"Dry-season median baseflow","Dry-season baseflow"
"12","HB","DS_Mag_50","Best Observed Condition","10 - 50%",9,18,50,"Dry-season median baseflow","Dry-season baseflow"
"13","SB0 & SB2","DS_Mag_50","Reference Condition","10 - 50%",11,16,68.75,"Dry-season median baseflow","Dry-season baseflow"
"14","SB0 & SB2","DS_Mag_50","Incremental Improvement","Over 50%",14,19,73.6842105263158,"Dry-season median baseflow","Dry-season baseflow"
"15","HB","DS_Mag_50","Reference Condition","10 - 50%",6,18,33.3333333333333,"Dry-season median baseflow","Dry-season baseflow"
"16","HB","DS_Mag_50","Best Observed Condition","Less than 10%",4,4,100,"Dry-season median baseflow","Dry-season baseflow"
"17","NAT & SB1","DS_Mag_50","Reference Condition","Less than 10%",6,6,100,"Dry-season median baseflow","Dry-season baseflow"
"18","NAT & SB1","DS_Mag_50","Incremental Improvement","Over 50%",20,25,80,"Dry-season median baseflow","Dry-season baseflow"
"19","NAT & SB1","DS_Mag_50","Reference Condition","10 - 50%",11,13,84.6153846153846,"Dry-season median baseflow","Dry-season baseflow"
"20","SB0 & SB2","DS_Mag_50","Reference Condition","Non-flow related",26,78,33.3333333333333,"Dry-season median baseflow","Dry-season baseflow"
"21","SB0 & SB2","DS_Mag_50","Incremental Improvement","Non-flow related",26,78,33.3333333333333,"Dry-season median baseflow","Dry-season baseflow"
"22","SB0 & SB2","DS_Mag_50","Best Observed Condition","Non-flow related",26,78,33.3333333333333,"Dry-season median baseflow","Dry-season baseflow"
"23","NAT & SB1","DS_Mag_50","Reference Condition","Over 50%",5,25,20,"Dry-season median baseflow","Dry-season baseflow"
"24","SB0 & SB2","DS_Mag_50","Reference Condition","Less than 10%",1,3,33.3333333333333,"Dry-season median baseflow","Dry-season baseflow"
"25","SB0 & SB2","DS_Mag_50","Best Observed Condition","10 - 50%",4,16,25,"Dry-season median baseflow","Dry-season baseflow"
"26","SB0 & SB2","DS_Mag_50","Reference Condition","Over 50%",3,19,15.7894736842105,"Dry-season median baseflow","Dry-season baseflow"
"27","SB0 & SB2","DS_Mag_50","Incremental Improvement","10 - 50%",1,16,6.25,"Dry-season median baseflow","Dry-season baseflow"
"28","HB","DS_Mag_50","Incremental Improvement","10 - 50%",3,18,16.6666666666667,"Dry-season median baseflow","Dry-season baseflow"
"29","HB","DS_Mag_50","Best Observed Condition","Over 50%",2,67,2.98507462686567,"Dry-season median baseflow","Dry-season baseflow"
"30","NAT & SB1","DS_Mag_50","Incremental Improvement","10 - 50%",2,13,15.3846153846154,"Dry-season median baseflow","Dry-season baseflow"
"31","SB0 & SB2","DS_Mag_50","Best Observed Condition","Over 50%",2,19,10.5263157894737,"Dry-season median baseflow","Dry-season baseflow"
"32","SB0 & SB2","DS_Mag_50","Reference Condition","No Action",2,6,33.3333333333333,"Dry-season median baseflow","Dry-season baseflow"
"33","SB0 & SB2","DS_Mag_50","Incremental Improvement","No Action",2,6,33.3333333333333,"Dry-season median baseflow","Dry-season baseflow"
"34","SB0 & SB2","DS_Mag_50","Best Observed Condition","No Action",2,6,33.3333333333333,"Dry-season median baseflow","Dry-season baseflow"
"35","SB0 & SB2","DS_Mag_50","Best Observed Condition","Less than 10%",2,3,66.6666666666667,"Dry-season median baseflow","Dry-season baseflow"
"36","HB","FA_Mag","Reference Condition","Over 50%",24,33,72.7272727272727,"Fall pulse magnitude","Fall pulse flow"
"37","HB","FA_Mag","Incremental Improvement","Less than 10%",42,47,89.3617021276596,"Fall pulse magnitude","Fall pulse flow"
"38","HB","FA_Mag","Best Observed Condition","10 - 50%",13,28,46.4285714285714,"Fall pulse magnitude","Fall pulse flow"
"39","NAT & SB1","FA_Mag","Reference Condition","No Action",145,435,33.3333333333333,"Fall pulse magnitude","Fall pulse flow"
"40","NAT & SB1","FA_Mag","Incremental Improvement","No Action",145,435,33.3333333333333,"Fall pulse magnitude","Fall pulse flow"
"41","NAT & SB1","FA_Mag","Best Observed Condition","No Action",145,435,33.3333333333333,"Fall pulse magnitude","Fall pulse flow"
"42","HB","FA_Mag","Reference Condition","Less than 10%",5,47,10.6382978723404,"Fall pulse magnitude","Fall pulse flow"
"43","NAT & SB1","FA_Mag","Reference Condition","Non-flow related",119,357,33.3333333333333,"Fall pulse magnitude","Fall pulse flow"
"44","NAT & SB1","FA_Mag","Incremental Improvement","Non-flow related",119,357,33.3333333333333,"Fall pulse magnitude","Fall pulse flow"
"45","NAT & SB1","FA_Mag","Best Observed Condition","Non-flow related",119,357,33.3333333333333,"Fall pulse magnitude","Fall pulse flow"
"46","HB","FA_Mag","Reference Condition","Non-flow related",31,93,33.3333333333333,"Fall pulse magnitude","Fall pulse flow"
"47","HB","FA_Mag","Incremental Improvement","Non-flow related",31,93,33.3333333333333,"Fall pulse magnitude","Fall pulse flow"
"48","HB","FA_Mag","Best Observed Condition","Non-flow related",31,93,33.3333333333333,"Fall pulse magnitude","Fall pulse flow"
"49","NAT & SB1","FA_Mag","Reference Condition","Over 50%",4,4,100,"Fall pulse magnitude","Fall pulse flow"
"50","NAT & SB1","FA_Mag","Incremental Improvement","10 - 50%",11,20,55,"Fall pulse magnitude","Fall pulse flow"
"51","HB","FA_Mag","Best Observed Condition","Over 50%",9,33,27.2727272727273,"Fall pulse magnitude","Fall pulse flow"
"52","SB0 & SB2","FA_Mag","Reference Condition","10 - 50%",10,30,33.3333333333333,"Fall pulse magnitude","Fall pulse flow"
"53","SB0 & SB2","FA_Mag","Incremental Improvement","10 - 50%",11,30,36.6666666666667,"Fall pulse magnitude","Fall pulse flow"
"54","SB0 & SB2","FA_Mag","Best Observed Condition","10 - 50%",9,30,30,"Fall pulse magnitude","Fall pulse flow"
