objectid,originalid,projectcode,stationcode,stationdesc,sampledate,evaluator,determination,determinationcomments,channeltype,structurewidth,structureshape,structureshapecomments,rightsideofstructure,rightvegetation,rightsidecomments,leftsideofstructure,leftvegetation,leftsidecomments,bottom,bottomcomments,vegetation,lowflowpresence,lowflowwidth,gradecontrolpresence,gradecontrollocation,gradecontrolcomments,channelmodcomments,lastchangedate,latitude,longitude,record_timestamp,app_timestamp,sitetype,novelsite,record_origin,origin_lastupdatedate,record_publish,globalid,created_user,created_date,last_edited_user,last_edited_date,login_agency,login_email,login_owner,login_year,login_project,ceden_publish,masterid,huc,county,smcshed,comid,channel_engineering_class
47474,495,NA,801M16739,NA,5/17/2023,A. Furler,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soft/Natural,NA,NA,NA,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{F3D1B895-EE48-4231-B568-ED2B1066BBEA},checker,12/27/2023 17:53,checker,12/27/2023 17:53,DFG-ABL,alison.furler@wildlife.ca.gov,RWQCB8,2023,SMC,NA,801M16739,801,San Bernardino,Upper Santa Ana,22554630,NAT
47468,489,NA,801M16740,NA,5/18/2023,A. Furler,Site visit,NA,Engineered,10 to 50 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{58188389-1A15-43B7-81F0-2301A01B6C03},checker,12/27/2023 17:53,checker,12/27/2023 17:53,DFG-ABL,alison.furler@wildlife.ca.gov,RWQCB8,2023,SMC,NA,801M16740,801,San Bernardino,Middle Santa Ana,22557960,HB
1984,399,NA,902M20345,NA,6/7/2023,Damon Owen,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{BE7358F4-F118-494F-BB27-9B40578496DF},checker,9/1/2023 18:13,checker,9/1/2023 18:13,WestonSolu,damon.owen@westonsolutions.com,RCFC,2023,SMC,NA,902M20345,902,San Diego,Northern San Diego,22548347,NAT
2024,440,NA,ALC at Trabuco,NA,6/29/2023,S. Johnson,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{9D154057-B662-48BF-966D-4D7371B26595},change request app,10/19/2023 18:25,robertb@sccwrp.org,10/19/2023 18:25,ABCL,alexis@aquaticbioassay.com,OCPW,2023,SMC,NA,ALC at Trabuco,901,Orange,San Juan,20348283,SB0
2001,415,NA,ME-CC,NA,6/28/2023,S. Johnson,Site visit,NA,Engineered,10 to 50 m,Natural,NA,Grouted rock,Yes,NA,Grouted rock,Yes,NA,Soft/Natural,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{D9E8DF19-1098-4593-BAB7-21F93E897F30},checker,10/5/2023 16:29,checker,10/5/2023 16:29,ABCL,alexis@aquaticbioassay.com,VCWPD,2023,SMC,NA,ME-CC,408,Ventura,Calleguas,17562626,SB2
1999,413,NA,ME-SCR2,NA,7/6/2023,S. Johnson,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{619E5940-5168-4368-9D83-E32D99C82E9D},checker,10/5/2023 16:29,checker,10/5/2023 16:29,ABCL,alexis@aquaticbioassay.com,VCWPD,2023,SMC,NA,403M01661,403,Ventura,Santa Clara,17573683,NAT
8596,460,NA,SMC01424,NA,6/22/2023,K. Wisenbaker,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{1F450BFE-8AB6-405D-99EA-F6B609F15588},checker,11/3/2023 18:02,checker,11/3/2023 18:02,ABCL,alexis@aquaticbioassay.com,SGRRMP,2023,SMC,NA,SMC01424,405,Los Angeles,San Gabriel,22522841,NAT
2016,430,NA,SMC01694,NA,6/29/2023,S. Johnson,Site visit,NA,Engineered,10 to 50 m,Trapezoidal,NA,Rock,No,NA,Concrete,No,NA,Soft/Natural,NA,No,Absent,NR,Present,Within 10 m upstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{A90A25B4-5F21-4C26-896E-1D5A0D4FD301},checker,10/6/2023 18:13,checker,10/6/2023 18:13,ABCL,alexis@aquaticbioassay.com,OCPW,2023,SMC,NA,SMC01694,845,Orange,San Gabriel,22527375,SB2
2004,418,NA,SMC04308,NA,6/27/2023,W. Willis,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Present,Within reach,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,NA,FALSE,{8D391539-F9B5-4834-A5EB-F454FAD8376D},checker,10/5/2023 16:29,checker,10/5/2023 16:29,ABCL,alexis@aquaticbioassay.com,VCWPD,2023,SMC,NA,SMC04308,408,Ventura,Calleguas,17564110,SB1
48,NA,NA,403M05785,NA,6/6/2017,DO/NC,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,5/17/2018,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{4B85646A-39CE-47FB-9776-24B50F5D8278},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403M05785,403,Los Angeles,Santa Clara,17575751,NAT
