,masterid,longitude,latitude,channel_engineering_class
1,403S01272,-118.6905,34.40303,NAT
2,403S01784,-118.7471,34.40228,NAT
3,403S02764,-118.7549,34.44778,NAT
4,403S07024,-118.75771,34.6092,NAT
5,403S14156,-118.582,34.42523,NAT?
6,404BA0526,-118.87219,34.04298,NAT
7,404S01128,-118.71271,34.10389,NAT
8,404BA1144,-118.63755,34.06064,NAT
9,404S01128,-118.71271,34.1039,NAT
10,404S02920,-118.767,34.17748,NAT?
11,404S11880,-118.70827,34.12529,NAT?
12,404S13416,-118.71594,34.09875,NAT
13,404S14952,-118.70089,34.14268,NAT?
14,404S16232,-118.75317,34.12549,NAT
15,404S16516,-118.75648,34.12998,NAT
16,404S17266,-118.7118,34.10741,NAT
17,404S22464,-118.70685,34.12676,NA
18,404S25668,-118.70914,34.12139,NAT
19,404S26868,-118.71737,34.09675,NAT
20,404S28068,-118.70366,34.13936,NAT?
21,404S28270,-118.75725,34.13663,NAT
22,404S32468,-118.72304,34.0999,NAT
23,404S35270,-118.70656,34.13325,NAT
24,SGUT501,-117.88449,34.24092,NAT?
25,481S05856,-117.67601,34.19152,NAT?
26,722PS0611,-116.4447,33.11256,NAT?
27,901S00469,-117.40855,33.52999,NAT
28,901S01705,-117.51,33.60369,NAT
29,901S01849,-117.39779,33.55523,NAT
30,901S02873,-117.39739,33.54344,NAT
31,901S04309,-117.46605,33.47486,NAT
32,901S06969,-117.39579,33.55334,NAT
33,902S02293,-117.20466,33.42339,NAT
34,906S02246,-117.09849,32.94636,NAT
35,907S01610,-116.65275,32.96675,NAT
36,907S03786,-116.65844,32.89421,NAT
37,907S05514,-116.74246,32.97974,NAT
38,911S00538,-116.63207,32.78123,NAT
39,314CE0200,-120.16055,34.59277,NAT
40,314SCCNSY,-119.9088,34.5967,NAT
41,314WE0542,-120.3583,34.55085,NA
42,314WE0677,-120.05303,34.7477,NAT
43,314WE0779,-119.75404,34.66959,NAT
44,403PRCSFD,-118.752,34.4603,NAT?
45,403STC019,-118.57917,34.42556,NAT
46,404CE0316,-118.4025,33.99722,HB
47,SGUT501,-117.8833,34.2408,NAT?
48,SGUT505,-117.88932,34.16939,NAT
49,802INC155,-116.77699,33.80703,NAT
50,801WE0550,-116.97444,34.16471,NAT
51,801WE0669,-116.99915,34.23169,NAT
52,801WE1127,-117.25876,34.18401,NAT
53,802WE0794,-116.6735,33.72962,NAT
